dhkf⇥	卽使
(丿,CkHg,yín_pān_zhòng,CJK)	乑
(一丿,OzFhCk,pīng,CJK)	乒
(一丶,OzFhOe,pāng,CJK)	乓
(丿大,CkXiKg,qiáo,CJK)	乔
(⺁二巾,OyRlUw,hǔ,CJK)	乕
(千匕,HcNbHs,guāi,CJK)	乖
(禾龷,ZpXk,chéng,CJK)	乗
(禾匕,ZpNbHs,chéng_shèng,CJK)	乘
(乙,Jg,yǐ_yì_jué,CJK)	乙
(乚,Pv,yǐn,CJK)	乚
(乛,Pv,ya,CJK)	乛
(𠃌乚,PvPv,miē_niè,CJK)	乜
(九,Dp,jiǔ_jiū,CJK)	九
(𠂉乙,LdJg,qǐ_qì,CJK)	乞
(也,He,yě_yí,CJK)	也
(习,Fz,xí,CJK)	习
(乡,Ff,xiāng,CJK)	乡
(山乚,DsPv,gài,CJK)	乢
(幺乚,BlPv,jiǔ,CJK)	乣
(一卜乙,FhDhJg,xià,CJK)	乤
(丿丷乙,CkVyJg,hù,CJK)	乥
(ヿヿ丨丶,PvPvKsOe,shū,CJK)	书
(斗乙,PfJg,dǒu,CJK)	乧
(厶口乚,NdIqPv,shǐ,CJK)	乨
(⺊口乚,DhIqPv,jī,CJK)	乩
(乙田,JgSl,náng,CJK)	乪
(力口乙,AuIqJg,jiā,CJK)	乫
(匚コ乙,EhEhJg,jù,CJK)	乬
(石乙,QqJg,shí,CJK)	乭
(卯乙,FmJg,mǎo,CJK)	乮
(丿丷𬺰乙,CkVyGlJg,hū,CJK)	乯
(乛゛大,PvLvXi,mǎi,CJK)	买
(舌乚,VlPv,luàn,CJK)	乱
(冫欠乙,LvFyJg,zī,CJK)	乲
(爫子乚,ToYdPv,rǔ,CJK)	乳
(扌斤乙,PcOzJg,xué,CJK)	乴
(辛乚,JtPv,yǎn,CJK)	乵
(甫乙,GnJg,fǔ,CJK)	乶
(氵小丿乙,HgOtCkJg,shā,CJK)	乷
(也母,HeQt,nǎ,CJK)	乸
(十日十乚,GlJeGlPv,gān,CJK)	乹
(戶斤乙,FkOzJg,suǒ,CJK)	乺
(方人゛乙,MxSiLvJg,yú,CJK)	乻
(氵丶王乙,HgOeGiJg,cui,CJK)	乼
(耂日乙,RiJeJg,zhě,CJK)	乽
(十日十𠂉乙,GlJeGlJg,qián_gān,CJK)	乾
(爫糸乚,ToHtPv,zhì_luàn,CJK)	乿
(亀,Si,guī,CJK)	亀
(十日干𠂉乙,GlJeLrJg,gān,CJK)	亁
(爫龴冂厶又乚,ToNdZvPv,luàn,CJK)	亂
(米夕㐄乚,MgXuGjPv,lǐn_lìn,CJK)	亃
(士冖豆乚,MfErEiPv,yì,CJK)	亄
(丨,Ks,jué,CJK)	亅
(了,Fu,le_liǎo_liào,CJK)	了
(⺈亅,RlKs,ma,CJK)	亇
(予,Ma,yǔ_yú_zhù,CJK)	予
(⺈,RlUa,zhēng,CJK)	争
(一丷,FhVyUa,shì,CJK)	亊
(一口,FhIqUa,shì_zì,CJK)	事
(二,Rl,èr,CJK)	二
(亍,Jb,chù,CJK)	亍
(一𬺰,FhGl,yú_wéi_yū_xū,CJK)	于
(二ㄅ,RlPv,kuī_yú,CJK)	亏
(二ㄅ,RlPv,yú,CJK)	亐
(云,Pd,yún,CJK)	云
(一彑,FhSi,hù,CJK)	互
(二,RlKg,qí,CJK)	亓
(五,Ji,wǔ,CJK)	五
(井,Bz,jǐng_jìng,CJK)	井
(二二,RlRl,sì,CJK)	亖
(山二,DsRl,suì,CJK)	亗
({凬字心}一,TeFh,gèn_xuān_gèng,CJK)	亘
(一⺼一,FhMdFh,gèn_gèng,CJK)	亙
(一业,FhOq,yà,CJK)	亚
(止匕二,LdHsRl,xiē_suò_suō,CJK)	些
(一,FhWu,yà,CJK)	亜
(厶厶厶二,NdNdNdRl,qí_zhāi,CJK)	亝
(一,FhWu,yà_yā_è,CJK)	亞
(了口又一,FuIqWiFh,jí_qì,CJK)	亟
(亠,Ue,tóu,CJK)	亠
(亡,Xc,wáng_wú,CJK)	亡
(亠几,UePs,kàng_gāng_gēng,CJK)	亢
(亠,UeKg,dà,CJK)	亣
(六乂,CaOs,jiāo,CJK)	交
(亥,Yg,hài_jiē,CJK)	亥
(亠,UeYv,yì,CJK)	亦
(厂,YqOy,chǎn,CJK)	产
(了,WnFu,hēng_xiǎng_pēng,CJK)	亨
(亠田,UeSl,mǔ,CJK)	亩
(亠乁,UeYvPv,ye,CJK)	亪
(子,WnYd,xiǎng,CJK)	享
(小,WnOt,jīng,CJK)	京
(丁,WnUe,tíng,CJK)	亭
(几,WnPs,liàng_liáng,CJK)	亮
(日,WnJe,xiǎng,CJK)	亯
(亠日小,UeJeOt,jīng,CJK)	亰
(亠亻日一,UeKjJeFh,yè,CJK)	亱
(立木,YqAj,qīn_qìng,CJK)	亲
(丿七,WnCkLn,bó,CJK)	亳
(土九,WnBmDp,yòu,CJK)	亴
(衣扌丸,OrPcTk,xiè,CJK)	亵
(亠囗口日一,UeUdIqFh,dǎn_dàn_chán_zhān,CJK)	亶
(厂,YqOySiYv,lián,CJK)	亷
(子丷田十,WnYdVyGl,duǒ,CJK)	亸
(亠冂一口冖且,UeWiZvRh,wěi_mén,CJK)	亹
(人,Si,rén,CJK)	人
(亻,Kj,rén,CJK)	亻
(亼,Tu,jí,CJK)	亼
(亽,Tu,jí,CJK)	亽
(亾,Xc,wáng,CJK)	亾
(亻乙,KjJg,yì,CJK)	亿
(亻十,KjGl,shén_shí,CJK)	什
(亻二,KjRl,rén,CJK)	仁
(亻力,KjAu,lè_lì,CJK)	仂
(亻丁,KjUe,dīng_dǐng,CJK)	仃
(厂人,OySi,zè,CJK)	仄
(亻又,KjWi,jǐn_fù_nú_jìn,CJK)	仅
(亻卜,KjDh,pū_pú,CJK)	仆
(亻九,KjDp,chóu_qiú_jū,CJK)	仇
(亻八,KjVy,bā,CJK)	仈
(亻几,KjPs,zhǎng,CJK)	仉
(亽ヿ,TuPv,jīn,CJK)	今
(人,SiKg,jiè_gè,CJK)	介
(人人,SiSi,bīng,CJK)	仌
(亻乃,KjVi,réng,CJK)	仍
(人人,SiSi,cóng_zòng,CJK)	从
(亻厶,KjNd,fó,CJK)	仏
(人十,SiGl,sǎn,CJK)	仐
(仑,Hv,lún,CJK)	仑
(人゛,SiLv,bīng,CJK)	仒
(人⺋,SiWj,cāng,CJK)	仓
(亻子,KjYd,zǎi_zǐ_zī,CJK)	仔
(亻士,KjMf,shì,CJK)	仕
(亻也,KjHe,tā_tuó,CJK)	他
(亻一,KjFhOs,zhàng,CJK)	仗
(亻寸,KjLw,fù,CJK)	付
(亻山,KjDs,xiān_xiǎn,CJK)	仙
(人山,SiDs,xiān,CJK)	仚
(亻丿七,KjCkLn,tuō_duó_chà_zhé,CJK)	仛
(亻工,KjNv,hóng,CJK)	仜
(人工,SiNv,tóng,CJK)	仝
(亻刀丶,KjKgOe,rèn,CJK)	仞
(亻千,KjHc,qiān,CJK)	仟
(亻干,KjLr,gǎn_hàn,CJK)	仠
(亻𠂉乙,KjLdJg,gē_yì_wù,CJK)	仡
(亻勹丶,KjSnOe,bó,CJK)	仢
(亻弋,KjNd,dài,CJK)	代
(亽龴,TuNd,lìng_líng_lǐng_lián,CJK)	令
(人,HsSi,yǐ_sì,CJK)	以
(亻小,KjOt,chào,CJK)	仦
(⺊一人,DhFhSi,cháng,CJK)	仧
(亻三,KjQn,sā,CJK)	仨
(亻⺊一,KjDhFh,cháng,CJK)	仩
(亻丶乂,KjOeOs,yí,CJK)	仪
(亻丿厶,KjCkNd,mù,CJK)	仫
(亻门,KjBo,men_mén,CJK)	们
(亻刀丶,KjKgOe,rèn,CJK)	仭
(亻⺁又,KjOyWi,fǎn,CJK)	仮
(亻小丿,KjOtCk,chào_miǎo,CJK)	仯
(亻卩,KjNgWj,yǎng_áng,CJK)	仰
(亻亽ヿ,KjTuPv,qián_jīng,CJK)	仱
(亻口丨,KjIqKs,zhòng,CJK)	仲
(亻匕,KjHsHs,pǐ_pí_bì,CJK)	仳
(亻月,KjMd,wò,CJK)	仴
(亻𠂉十,KjLdGl,wǔ,CJK)	仵
(亻牛,KjLz,jiàn_móu,CJK)	件
(亻人,KjSiKg,jià_jie_jiè,CJK)	价
(亻丿大,KjCkXi,yǎo_fó,CJK)	仸
(亻丰,KjZh,fēng,CJK)	仹
(人ㅌ,SiSi,cāng,CJK)	仺
(亻丿士,KjCkMf,rèn_rén_lìn,CJK)	任
(亻王,KjGi,wáng,CJK)	仼
(亻八刀,KjVyKg,fèn_bīn,CJK)	份
(亻一彑,KjFhSi,dī,CJK)	仾
(亻方,KjMx,fǎng_páng,CJK)	仿
(亻八厶,KjVyNd,zhōng,CJK)	伀
(人止,SiLd,qǐ,CJK)	企
(亻一巾,KjFhUw,pèi,CJK)	伂
(亻予,KjMa,yú_yǔ_xù,CJK)	伃
(亻弓丨,KjOdKs,diào,CJK)	伄
(亻一,KjFhIa,dùn,CJK)	伅
(亻勹,KjSnBl,wù,CJK)	伆
(亻殳,KjQi,yì,CJK)	伇
(亻心,KjNg,xǐn_lǐn,CJK)	伈
(亻亠几,KjUePs,kàng_gāng_kǎng,CJK)	伉
(亻丿,KjSiCk,yī,CJK)	伊
(亻及,KjKd,jí_fán,CJK)	伋
(亻厂⺋,KjOyWj,ài,CJK)	伌
(亻五,KjJi,wǔ,CJK)	伍
(亻支,KjBh,jì_zhì_qí_qì,CJK)	伎
(亻犬,KjLe,fú_fù,CJK)	伏
(亻戈,KjIe,fá,CJK)	伐
(亻木,KjAj,xiū_xù,CJK)	休
(亻斤,KjOz,jìn_yín,CJK)	伒
(亻不,KjCi,pī,CJK)	伓
(亻冖几,KjErPs,dǎn,CJK)	伔
(亻夫,KjSv,fū,CJK)	伕
(亻𠂇又,KjGlWi,tǎng,CJK)	伖
(人人人,SiSiSi,zhòng_yín,CJK)	众
(亻尤,KjGh,yōu_yóu,CJK)	优
(亻火,KjYv,huǒ_huo,CJK)	伙
(人云,SiPd,huì_kuài,CJK)	会
(亻匚㐅,KjEhOs,yǔ,CJK)	伛
(亻九十,KjDpGl,cuì,CJK)	伜
(亻云,KjPd,yún,CJK)	伝
(人丷十,SiVyGl,sǎn,CJK)	伞
(亻韦,KjQh,wěi,CJK)	伟
(亻二乛丶,KjRlPvOe,chuán_zhuàn,CJK)	传
(亻车,KjYf,chē,CJK)	伡
(亻牙,KjYb,yá,CJK)	伢
(亻见,KjUw,qiàn_xiàn,CJK)	伣
(亻𠂉力,KjLdAu,shāng,CJK)	伤
(亻长,KjXk,chāng,CJK)	伥
(亻仑,KjHv,lún,CJK)	伦
(亻人⺋,KjSiWj,cāng_chen,CJK)	伧
(亻勹冫,KjSnLv,xùn,CJK)	伨
(亻文,KjWm,xìn,CJK)	伩
(亻丶力丶,KjOeAuOe,wěi,CJK)	伪
(亻宀一,KjErFh,zhù,CJK)	伫
(亻尸丶,KjMzOe,ze,CJK)	伬
(亻亠幺,KjUeBl,xián,CJK)	伭
(亻女又,KjSmWi,nǔ,CJK)	伮
(亻白,KjDy,bó_bǎi_mò_bà,CJK)	伯
(亻古,KjQm,gū_gù,CJK)	估
(亻人小,KjSiOt,nǐ,CJK)	伱
(亻尸匕,KjMzHs,nì_ní_nǐ,CJK)	伲
(亻廿㇗,KjXkPv,xiè,CJK)	伳
(亻丷,KjVyPc,bàn_pàn,CJK)	伴
(亻四,KjYt,xù,CJK)	伵
(亻亽龴,KjTuNd,líng,CJK)	伶
(亻由,KjIs,zhòu,CJK)	伷
(亻日丨,KjJeKs,shēn,CJK)	伸
(亻且,KjRh,qū_zù,CJK)	伹
(亻𠃌一口,KjPvFhIq,cì_sì,CJK)	伺
(亻干丷,KjLrVy,bēng,CJK)	伻
(亻人,KjHsSi,shì_sì,CJK)	似
(亻力口,KjAuIq,gā_jiā_qié,CJK)	伽
(亻不一,KjCiFh,pī,CJK)	伾
(亻口八,KjIqVy,yì,CJK)	伿
(亻㠯,KjUs,sì,CJK)	佀
(亻厶口,KjNdIq,yǐ_ǎi_sì_chì,CJK)	佁
(亻一止,KjFhLd,zhēng,CJK)	佂
(亻田,KjSl,diàn_tián,CJK)	佃
(亻甘,KjMz,hān_gàn,CJK)	佄
(亻未,KjJx,mài,CJK)	佅
(亻日一,KjJeFh,dàn_tǎn_yàn,CJK)	但
(亻宀丁,KjErUe,zhù,CJK)	佇
(亻𠂇巾,KjGlUw,bù,CJK)	佈
(亻土厶,KjBmNd,qū_qiā,CJK)	佉
(亻皮,KjEm,bǐ,CJK)	佊
(亻刀口,KjKgIq,zhāo_sháo_shào,CJK)	佋
(亻止匕,KjLdHs,cǐ,CJK)	佌
(亻立,KjYq,wèi_lì,CJK)	位
(亻氏丶,KjQuOe,dī,CJK)	低
(亻丶王,KjOeGi,zhù,CJK)	住
(亻𠂇工,KjGlNv,zuǒ,CJK)	佐
(亻𠂇口,KjGlIq,yòu,CJK)	佑
(亻冂大,KjZvXi,yǎng_yāng,CJK)	佒
(亻木一,KjAjFh,tǐ_tī_bèn_cuì,CJK)	体
(亻⺊口,KjDhIq,zhàn_chān_diān,CJK)	佔
(亻可,KjZj,hé_hè,CJK)	何
(亻心丿,KjNgCk,bì,CJK)	佖
(亻宀匕,KjErHs,tuó_tuō_tuò_yí,CJK)	佗
(人示,SiDd,shé,CJK)	佘
(人禾,SiZp,yú_tú_xú_yù,CJK)	余
(亻丿夫,KjCkSv,yì_dié,CJK)	佚
(亻弗,KjUv,fú_fó_bó_bì,CJK)	佛
(亻乍,KjEl,zuò_zuō_zuó,CJK)	作
(亻句,KjTq,gōu_kòu_jū,CJK)	佝
(亻二女,KjRlSm,nìng,CJK)	佞
(亻夂゛,KjJtLv,tóng,CJK)	佟
(亻⺈小,KjRlOt,nǐ,CJK)	你
(亻人山,KjSiDs,xiān,CJK)	佡
(亻匚コ,KjEhEh,qú,CJK)	佢
(亻用,KjQl,yōng_yòng,CJK)	佣
(亻瓦,KjFn,wǎ,CJK)	佤
(亼⺍一,TuHgFh,qiān,CJK)	佥
(亻石,KjQq,shi,CJK)	佦
(亻⺊一卜,KjDhFhDh,kǎ,CJK)	佧
(亻勹巳,KjSnDu,bāo,CJK)	佨
(亻⺇一巾,KjPsFhUw,pèi,CJK)	佩
(亻囗口,KjUdIq,huí_huái,CJK)	佪
(亻各,KjQy,hè_gé,CJK)	佫
(亻老,KjRi,lǎo_liáo,CJK)	佬
(亻夂㐄,KjJtGj,xiáng,CJK)	佭
(亻亼口,KjTuIq,gé_é,CJK)	佮
(亻羊,KjId,yáng,CJK)	佯
(亻一白,KjFhDy,bǎi_mò,CJK)	佰
(亼一止,TuFhLd,fǎ,CJK)	佱
(亻夕口,KjXuIq,mǐng,CJK)	佲
(亻土土,KjBmBm,jiā,CJK)	佳
(亻耳,KjQg,èr_nài,CJK)	佴
(亻䒑廾,KjVyWh,bìng,CJK)	併
(亻士口,KjMfIq,jí,CJK)	佶
(亻艮,KjTp,hěn_héng,CJK)	佷
(亻舌,KjVl,huó,CJK)	佸
(亻⺈厂⺋,KjRlOyWj,guǐ_guī,CJK)	佹
(亻人王,KjSiGi,quán,CJK)	佺
(亻儿冫,KjAhLvLv,tiāo_tiáo_tiào_diǎo_yáo_dào_zhào,CJK)	佻
(亻六乂,KjCaOs,jiǎo_jiāo_xiáo,CJK)	佼
(亻冫欠,KjLvFy,cì,CJK)	佽
(亻八⺝,KjVyMd,yì,CJK)	佾
(亻一口,KjFhIqOs,shǐ,CJK)	使
(亻一廾刂,KjFhWhKg,xíng,CJK)	侀
(亻⺧儿,KjLzAh,shēn,CJK)	侁
(亻广丿七,KjGpCkLn,tuō,CJK)	侂
(亻口,KjIqJv,kǎn,CJK)	侃
(亻至,KjCy,zhí,CJK)	侄
(亻亥,KjYg,gāi_hài,CJK)	侅
(木人人,AjSiSi,lái_lài,CJK)	來
(亻大弓,KjXiOd,yí,CJK)	侇
(亻夕夕,KjXuXu,chǐ,CJK)	侈
(亻大二ㄅ,KjXiRlPv,kuǎ_huá_è_wú,CJK)	侉
(亻光,KjSj,guāng,CJK)	侊
(亻歹刂,KjQmKg,lì_liè,CJK)	例
(亽ヿ云,TuPvPd,yīn,CJK)	侌
(亻土寸,KjBmLw,shì,CJK)	侍
(亻米,KjMg,mǐ,CJK)	侎
(亻丿未,KjCkJx,zhū_zhōu,CJK)	侏
(亻丿皿,KjCkBk,xù,CJK)	侐
(亻𠂇⺝,KjGlMd,yòu,CJK)	侑
(亻宀女,KjErSm,ān_ǎn,CJK)	侒
(亻聿,KjUa,lù,CJK)	侓
(亻厶牛,KjNdLz,móu_máo,CJK)	侔
(亻而,KjUa,ér,CJK)	侕
(侖,Sy,lún_lùn,CJK)	侖
(亻冂一口,KjZvFhIq,dòng_tōng_tóng_tǒng,CJK)	侗
(亻宀丿七,KjErCkLn,chà,CJK)	侘
(亻弋工,KjNdNv,chī,CJK)	侙
(亻勹日,KjSnJe,xùn_xún,CJK)	侚
(亻龷八,KjXkVy,gōng_gòng,CJK)	供
(亻舟,KjLk,zhōu,CJK)	侜
(亻衣,KjOr,yī_yǐ,CJK)	依
(亻女口,KjSmIq,rú,CJK)	侞
(亻𠂇丨子,KjGlKsYd,cún_jiàn,CJK)	侟
(亻夫丷,KjSvVy,xiá,CJK)	侠
(亻覀,KjQp,sì,CJK)	価
(亻王冂,KjGiZv,dài,CJK)	侢
(亻吕,KjNf,lǚ,CJK)	侣
(亻耂一ㄅ,KjRiFhPv,ta,CJK)	侤
(亻一儿,KjIeFhAh,jiǎo_yáo,CJK)	侥
(亻⺊贝,KjDhDj,zhēn,CJK)	侦
(亻贝刂,KjDjKg,cè_zè_zhāi,CJK)	侧
(亻丿大,KjCkXiKg,qiáo,CJK)	侨
(亻人云,KjSiPd,kuài,CJK)	侩
(亻齐,KjAe,chái,CJK)	侪
(亻亡女,KjXcSm,nìng,CJK)	侫
(亻冖𧘇,KjErOr,nóng,CJK)	侬
(亻尸丶゛,KjMzOeLv,jǐn,CJK)	侭
(亻𠂉母,KjLdQt,wǔ,CJK)	侮
(亻矢,KjEhEu,hóu_hòu,CJK)	侯
(亻丿口,KjSiCkIq,jiǒng,CJK)	侰
(亻口王,KjIqGi,chěng_tǐng,CJK)	侱
(亻辰,KjQn,zhèn_zhēn_chēn,CJK)	侲
(亻人人土,KjSiSiBm,zuò,CJK)	侳
(亼ヿ土刂,TuPvBmKg,chǒu,CJK)	侴
(亻彐冖又,KjSiErWi,qīn_qǐn,CJK)	侵
(亻口丿口,KjIqCkIq,lǚ,CJK)	侶
(亻尸𠃌口,KjMzPvIq,jú,CJK)	侷
(亻豆,KjEi,shù_dōu,CJK)	侸
(亻丿士廴,KjCkMfVv,tǐng,CJK)	侹
(亻山亽ヿ,KjDsTuPv,shèn,CJK)	侺
(亻丷口儿,KjVyIqAh,tuì_tuō,CJK)	侻
(亻十冖子,KjGlErYd,bó,CJK)	侼
(亻田力,KjSlAu,nán,CJK)	侽
(亻耂子,KjRiYd,xiāo,CJK)	侾
(亻{凬字心},KjTeOs,biàn_pián_biān,CJK)	便
(亻爫女,KjToSm,tuǐ,CJK)	俀
(亻口㇞大,KjIqPvXi,yǔ,CJK)	俁
(亻丿糸,KjCkHt,xì,CJK)	係
(亻足,KjUz,cù_chuò,CJK)	促
(亻丿扌,KjCkPcIe,é,CJK)	俄
(亻一氺丶,KjFhHgOe,qiú,CJK)	俅
(亻人禾,KjSiZp,xú_shū,CJK)	俆
(亻犭王,KjLeGi,guàng,CJK)	俇
(亻⺧口,KjLzIq,kù,CJK)	俈
(亻五口,KjJiIq,wǔ_wú,CJK)	俉
(亻厶八夂,KjNdVyJt,jùn_shùn_dūn,CJK)	俊
(亻口巴,KjIqEw,yì,CJK)	俋
(亻甫,KjGn,fǔ,CJK)	俌
(亻丶艮,KjOeTp,liáng_lǎng,CJK)	俍
(人人且,SiSiRh,zǔ,CJK)	俎
(亻⺌⺝,KjOtMd,qiào_xiào_xiāo,CJK)	俏
(亻禾刂,KjZpKg,lì,CJK)	俐
(亻龴用,KjNdQl,yǒng,CJK)	俑
(亻宀二儿,KjErRlAh,hùn,CJK)	俒
(亻一巛工,KjFhJvNv,jìng_yíng,CJK)	俓
(亻見,KjSc,qiàn_xiàn,CJK)	俔
(亻宀木,KjErAj,sàn,CJK)	俕
(亻不口,KjCiIq,pěi,CJK)	俖
(亻谷,KjPu,sú,CJK)	俗
(亻爫子,KjToYd,fú,CJK)	俘
(亻㐅𠂇巾,KjOsGlUw,xī,CJK)	俙
(亻里,KjDn,lǐ_lì,CJK)	俚
(亻儿,KjZhAh,fǔ_miǎn,CJK)	俛
(亻由一ㄅ,KjIsFhPv,pīng,CJK)	俜
(亻口木,KjIqAj,bǎo,CJK)	保
(亼⺝刂,TuMdKg,yú_shù,CJK)	俞
(亻厶矢,KjNdEu,qí_sì,CJK)	俟
(亻大人人,KjXiSiSi,xiá,CJK)	俠
(亻言,KjMe,xìn_shēn,CJK)	信
(亻夂彡,KjJtBl,xiū,CJK)	俢
(亻口一大,KjIqFhXi,yǔ,CJK)	俣
(亻丷𢎨,KjVyUv,dì,CJK)	俤
(亻車,KjJl,chē_jū,CJK)	俥
(亻寸,KjZhLw,chóu,CJK)	俦
(亻士心,KjMfNg,zhì,CJK)	俧
(亻一厂,KjFhYvOy,yǎn,CJK)	俨
(亻两,KjAm,liǎ_liǎng,CJK)	俩
(亻一,KjFhMdMd,lì,CJK)	俪
(亻未丷,KjJxVy,lái,CJK)	俫
(亻禾厶,KjZpNd,sī,CJK)	俬
(亻亼⺍一,KjTuHgFh,jiǎn,CJK)	俭
(亻丨夂彡,KjKsJtBl,xiū,CJK)	修
(亻广亻寸,KjGpKjLw,fǔ,CJK)	俯
(亻禾口,KjZpIq,huò,CJK)	俰
(亻目,KjGyVy,jù_jū,CJK)	俱
(亻六乂力,KjCaOsAu,xiào,CJK)	俲
(亻非,KjDm,pái,CJK)	俳
(亻戈戈,KjIeIe,jiàn,CJK)	俴
(亻龶𧘇,KjZhOr,biào,CJK)	俵
(亻⺊一小又,KjDhFhWi,chù_shū_tì,CJK)	俶
(亻月巴,KjMdEw,fèi,CJK)	俷
(亻㇏,KjZhOePc,fèng_běng,CJK)	俸
(亻一,KjFhWu,yà_yā,CJK)	俹
(亻大日乚,KjXiJePv,ǎn_yàn,CJK)	俺
(亻夂田,KjJtSl,bèi,CJK)	俻
(亻⺝,KjPdMd,yù,CJK)	俼
(亻斤欠,KjOzFy,xīn,CJK)	俽
(亻白丿十,KjDyCkGl,bǐ_bì_bēi_pì,CJK)	俾
(亻虎,KjQb,hǔ_chí,CJK)	俿
(亻長,KjSi,chāng_chéng_zhèng,CJK)	倀
(亻矢口,KjEuIq,zhī,CJK)	倁
(亻丿丿干,KjCkLrLr,bìng,CJK)	倂
(亻夂卜口,KjJtDhIq,jiù,CJK)	倃
(亻㐅𠂇⺝,KjOsGlMd,yáo,CJK)	倄
(亻亠人人十,KjUeSiGl,cuì_zú,CJK)	倅
(亻一巾入入,KjFhUwXj,liǎ_liǎng,CJK)	倆
(亻宀夕⺋,KjErXuWj,wǎn,CJK)	倇
(亻木人人,KjAjSiSi,lái_lài_liē,CJK)	倈
(人口,SiFkIq,cāng_chuàng,CJK)	倉
(亻八厶心,KjVyNdNg,zòng,CJK)	倊
(亻囗古,KjUdQm,gè_gě,CJK)	個
(亻宀㠯,KjErUs,guān,CJK)	倌
(亻立口,KjYqIq,bèi_péi,CJK)	倍
(亻𠕁,KjJzVy,tiǎn,CJK)	倎
(亻丨夂犬,KjKsJtLe,shū,CJK)	倏
(亻丨夂火,KjKsJtYv,shū,CJK)	倐
(亻門,KjAc,men_mèn_mén,CJK)	們
(亻至刂,KjCyKg,dào_dǎo,CJK)	倒
(亻火火,KjYvYv,tán_dàn_tàn,CJK)	倓
(亻尸屮凵,KjMzIaZv,jué_juè,CJK)	倔
(亻千艹士,KjHcWhMf,chuí_zhuì,CJK)	倕
(亻土,KjBmId,xìng,CJK)	倖
(亻月月,KjMdMd,péng_pěng_píng,CJK)	倗
(亻尚,KjXy,tǎng_cháng,CJK)	倘
(亻丨矢,KjKsEhEu,hòu,CJK)	候
(亻大可,KjXiZj,yǐ_jī_yī,CJK)	倚
(亻,KjMzVy,qī_qí_qì,CJK)	倛
(亻⺆土口,KjZvBmIq,tì_diào_zhōu,CJK)	倜
(十日十人,GlJeGlSi,gàn,CJK)	倝
(亻小,KjWnOt,jìng_liàng,CJK)	倞
(亻龷日,KjXkJe,jiè,CJK)	借
(亻隹,KjVh,suī,CJK)	倠
(亻日曰,KjJeRl,chàng_chāng,CJK)	倡
(亻一龰,KjFhSiLd,jié_qiè,CJK)	倢
(亻方攵,KjMxRy,fǎng,CJK)	倣
(亻十目㇗,KjGlGyPv,zhí,CJK)	値
(亻穴工,KjZiNv,kōng_kǒng,CJK)	倥
(亻丷夫⺋,KjVySvWj,juàn,CJK)	倦
(亻宀示,KjErDd,zōng,CJK)	倧
(亻尸古,KjMzQm,jù,CJK)	倨
(亻龶⺝,KjZhMd,qiàn_qìng,CJK)	倩
(亻臼儿,KjWiAh,ní_nì_niè,CJK)	倪
(亻侖,KjSy,lún,CJK)	倫
(亻⺊日十,KjDhJeGl,zhuō,CJK)	倬
(亻禾女,KjZpSm,wō_wēi_wǒ,CJK)	倭
(亻田木,KjSlAj,luǒ,CJK)	倮
(亻木八厶,KjAjVyNd,sōng,CJK)	倯
(亻土八夂,KjBmVyJt,lèng_líng,CJK)	倰
(亻日匕,KjJeHsHs,hùn,CJK)	倱
(亻木日,KjAjJe,dōng_dòng,CJK)	倲
(亻一口,KjFhIqUa,zì,CJK)	倳
(亻大十廾,KjXiGlWh,bèn_bēn,CJK)	倴
(亻一弋止,KjFhNdLd,wǔ,CJK)	倵
(亻目,KjGyVy,jù,CJK)	倶
(亻大示,KjXiDd,nǎi,CJK)	倷
(亻爫木,KjToAj,cǎi,CJK)	倸
(亻亼口人,KjTuIqSi,jiǎn,CJK)	倹
(亻龶贝,KjZhDj,zhài,CJK)	债
(亻耳阝,KjQgTj,yē,CJK)	倻
(亻十目一,KjGlGyFh,zhí,CJK)	值
(亻人,KjSiVl,shà,CJK)	倽
(亻页,KjHsKw,qīng,CJK)	倾
(亻立女,KjYqSm,nìng,CJK)	倿
(亻艹冂大,KjWhZvXi,yīng,CJK)	偀
(亻爫冂土,KjToZvBm,chēng,CJK)	偁
(亻䒑⺝刂,KjVyMdKg,qián,CJK)	偂
(亻匚日女,KjEhJeSm,yǎn,CJK)	偃
(亻而大,KjUaXi,ruǎn_rú,CJK)	偄
(亻千里,KjHcDn,zhòng_chōng_tóng,CJK)	偅
(亻㇏日,KjZhOeJe,chǔn,CJK)	偆
(亻二コ又,KjMzRlWi,jiǎ_jià_jie_xià_xiá_gé,CJK)	假
(亻日勹亾,KjJeSnXc,jì_jié_qì,CJK)	偈
(亻韋,KjIw,wěi,CJK)	偉
(亻丿口⽱,KjCkIqFj,yǔ,CJK)	偊
(亻尸䒑廾,KjMzVyWh,bìng_bǐng,CJK)	偋
(亻艹𠂇口,KjWhGlIq,ruò_rè,CJK)	偌
(亻日疋,KjJeKf,tí,CJK)	偍
(亻田一,KjSlFhOr,wēi,CJK)	偎
(亻户𠕁,KjFkJz,piān,CJK)	偏
(亻厂彡,KjYqOyBl,yàn,CJK)	偐
(亻風,KjUy,fēng,CJK)	偑
(亻日一勹,KjJeFhBl,tǎng_dàng,CJK)	偒
(亻尸至,KjMzCy,wò,CJK)	偓
(亻吅二ㄅ,KjRuRlPv,è,CJK)	偔
(亻匕白,KjHsHsDy,xié_jiē,CJK)	偕
(亻耂日,KjRiJe,chě,CJK)	偖
(亻小丿目,KjOtCkGy,shěng,CJK)	偗
