;q	：“
(丿人人人人土人,CkSiSiSi,,CJK-B)	𡚆
(罒罒弓大,YtYtOdXi,yàn,CJK-B)	𡚇
(䒑业日一大,VyOqJeXi,wéi,CJK-B)	𡚈
(大王王心丿,XiGiGiCk,,CJK-B)	𡚉
(大吅隹,XiRuVh,huān,CJK-B)	𡚊
(⺊一米八刀大,DhFhMgXi,,CJK-B)	𡚋
(一大一大一大一大,FhXiFhXi,hào,CJK-B)	𡚌
(大口吅止,XiIqRuLd,,CJK-B)	𡚍
(罒廾大可,YtWhXiZj,,CJK-B)	𡚎
(大丷丷大丷丷亡,XiVyVyXc,,CJK-B)	𡚏
(大一自一自,XiFhCjCj,,CJK-B)	𡚐
(一大䒑自辶,FhXiVyLt,gōng,CJK-B)	𡚑
(大隹臼,XiVhWi,,CJK-B)	𡚒
(大止戊示,XiLdUcDd,,CJK-B)	𡚓
(大目目灬,XiGyGyYv,méng,CJK-B)	𡚔
(禾爫冂土大,ZpToZvXi,,CJK-B)	𡚕
(丿㠯大冖巾,CkUsXiUw,,CJK-B)	𡚖
(大田田田,XiSlSlSl,lěi,CJK-B)	𡚗
(爫大丿米田,ToXiCkSl,,CJK-B)	𡚘
(卅冖巾日大,FhErUwXi,dì,CJK-B)	𡚙
(大束⺈貝,XiUhRlIc,,CJK-B)	𡚚
(大又又臣又又土,XiWiWiBm,bǐng,CJK-B)	𡚛
(大艹吅隹,XiWhRuVh,huān_kàn,CJK-B)	𡚜
(大目目隹,XiGyGyVh,,CJK-B)	𡚝
(大隹寸戈口一,XiVhLwFh,,CJK-B)	𡚞
(大廿口夫隹,XiXkIqVh,wā,CJK-B)	𡚟
(大目目隹又,XiGyGyWi,jué,CJK-B)	𡚠
(艹魚禾大,WhXlZpXi,,CJK-B)	𡚡
(大艹魚禾,XiWhXlZp,,CJK-B)	𡚢
(乂乂冖木木大,WiOsOsXi,,CJK-B)	𡚣
(罒大罒大罒大,YtXiYtXi,,CJK-B)	𡚤
(⺈冂八大⺿臣,RlZvVyDz,,CJK-B)	𡚥
(女丶,SmOe,,CJK-B)	𡚦
(女匕,SmHs,,CJK-B)	𡚧
(女匕,SmHs,chì,CJK-B)	𡚨
(又女,WiSm,,CJK-B)	𡚩
(九女,DpSm,,CJK-B)	𡚪
(女几,SmPs,,CJK-B)	𡚫
(二女,RlSm,,CJK-B)	𡚬
(女八,SmVy,bā,CJK-B)	𡚭
(丶女,RlOeSm,jiǔ,CJK-B)	𡚮
(女二ㄅ,SmRlPv,,CJK-B)	𡚯
(㇏女,RlOeSm,,CJK-B)	𡚰
(女巳,SmDu,,CJK-B)	𡚱
(女一儿,SmFhAh,,CJK-B)	𡚲
(女土,SmBm,,CJK-B)	𡚳
(山女,DsSm,,CJK-B)	𡚴
(女夕,SmXu,,CJK-B)	𡚵
(亾女,XcSm,,CJK-B)	𡚶
(勹丶女,SnOeSm,dì,CJK-B)	𡚷
(女丿厶,SmCkNd,,CJK-B)	𡚸
(女一,SmFhOs,zhàng,CJK-B)	𡚹
(女丸,SmTk,,CJK-B)	𡚺
(女大,SmXi,dà,CJK-B)	𡚻
(女氏,SmQu,shí,CJK-B)	𡚼
(ヿ土女,PvBmSm,hào,CJK-B)	𡚽
(女殳,SmQi,,CJK-B)	𡚾
(女心,SmNg,,CJK-B)	𡚿
(女𠂇又,SmGlWi,,CJK-B)	𡛀
(女勹,SmSnBl,,CJK-B)	𡛁
(女丿,SmSiCk,,CJK-B)	𡛂
(女歹,SmQm,,CJK-B)	𡛃
(女尸丶,SmMzOe,,CJK-B)	𡛄
(女弓丨,SmOdKs,,CJK-B)	𡛅
(女乚彡,SmPvBl,,CJK-B)	𡛆
(女攵,SmRy,,CJK-B)	𡛇
(女丿廾,SmCkWh,,CJK-B)	𡛈
(亻二女,KjRlSm,,CJK-B)	𡛉
(女手,SmPc,,CJK-B)	𡛊
(女毛,SmOu,,CJK-B)	𡛋
(一大女,FhXiSm,yè,CJK-B)	𡛌
(云女,PdSm,,CJK-B)	𡛍
(一山女,FhDsSm,,CJK-B)	𡛎
(女戈,SmIe,,CJK-B)	𡛏
(女人勹,SmSiSn,,CJK-B)	𡛐
(八刀女,VyKgSm,,CJK-B)	𡛑
(又又女,WiWiSm,,CJK-B)	𡛒
(女⺆亠,SmZvUe,,CJK-B)	𡛓
(女一⺊ㄅ,SmFhDhPv,,CJK-B)	𡛔
(女大丶,SmXiOe,,CJK-B)	𡛕
(女厂⺋,SmOyWj,,CJK-B)	𡛖
(匕女,HsHsSm,bì,CJK-B)	𡛗
(女匚儿,SmEhAh,pǐ,CJK-B)	𡛘
(女幺力,SmBlAu,yǎo_yāo,CJK-B)	𡛙
(女丿丷𬺰,SmCkVyGl,,CJK-B)	𡛚
(女屮凵,SmIaZv,,CJK-B)	𡛛
(女氏一,SmQuFh,dī,CJK-B)	𡛜
(歺女,QmSm,càn,CJK-B)	𡛝
(女厶廾,SmNdWh,pín,CJK-B)	𡛞
(女戉,SmUc,yuè,CJK-B)	𡛟
(女土厶,SmBmNd,qiē,CJK-B)	𡛠
(女皮,SmEm,pī,CJK-B)	𡛡
(女山厂,SmDsOy,,CJK-B)	𡛢
(女厂,SmOyWj,,CJK-B)	𡛣
(丷女,VyPcSm,,CJK-B)	𡛤
(女宀匕,SmErHs,,CJK-B)	𡛥
(女一冂人,SmFhZvSi,,CJK-B)	𡛦
(女人彡,SmSiBl,,CJK-B)	𡛧
(女⺊一卜,SmDhFhDh,,CJK-B)	𡛨
(女立,SmYq,,CJK-B)	𡛩
(女九彡,SmDpBl,,CJK-B)	𡛪
(女疋,SmKf,,CJK-B)	𡛫
(皮女,EmSm,,CJK-B)	𡛬
(女示,SmDd,,CJK-B)	𡛭
(女𠂇口,SmGlIq,,CJK-B)	𡛮
(女弗,SmUv,,CJK-B)	𡛯
(女口八,SmIqVy,,CJK-B)	𡛰
(女口⺆,SmIqZv,,CJK-B)	𡛱
(女亻弋,SmKjNd,,CJK-B)	𡛲
(女白,SmDy,,CJK-B)	𡛳
(女斤丶,SmOzOe,,CJK-B)	𡛴
(一止女,FhLdSm,tuǒ,CJK-B)	𡛵
(女廿㇗,SmXkPv,xiè,CJK-B)	𡛶
(女一巾丿,SmFhUwCk,,CJK-B)	𡛷
(女囗コ,SmUdEh,,CJK-B)	𡛸
({癶变}女,VySm,,CJK-B)	𡛹
(予丿女,MaCkSm,,CJK-B)	𡛺
(女丶水,SmOeHg,,CJK-B)	𡛻
(女王丶,SmGiOe,,CJK-B)	𡛼
(由女,IsSm,yè,CJK-B)	𡛽
(女用,SmQl,,CJK-B)	𡛾
(女𠂇工,SmGlNv,,CJK-B)	𡛿
(厶大女,NdXiSm,fàn,CJK-B)	𡜀
(女瓜,SmQj,guā,CJK-B)	𡜁
(氵二ㄅ女,HgRlPvSm,hù,CJK-B)	𡜂
(女冂人人,SmZvSiSi,rǔ,CJK-B)	𡜃
(女日㇂丿,SmJePvCk,,CJK-B)	𡜄
(女𠂉,SmLdOr,,CJK-B)	𡜅
(女刀巴,SmKgEw,,CJK-B)	𡜆
(女一廾刂,SmFhWhKg,,CJK-B)	𡜇
(小月女,OtMdSm,,CJK-B)	𡜈
(女九木,SmDpAj,rǎn_ràn,CJK-B)	𡜉
(女缶,SmUs,fǒu,CJK-B)	𡜊
(女亡,SmXcJv,huāng,CJK-B)	𡜋
(十冖二女,GlErRlSm,,CJK-B)	𡜌
(女自,SmCj,,CJK-B)	𡜍
(八厶儿女,VyNdAhSm,,CJK-B)	𡜎
(女巛歹,SmJvQm,,CJK-B)	𡜏
(女戊丶,SmUcOe,,CJK-B)	𡜐
(日亠女,JeUeSm,,CJK-B)	𡜑
(女𠂇丨子,SmGlKsYd,,CJK-B)	𡜒
(吅女,RuSm,,CJK-B)	𡜓
(女⺊一小,SmDhFhOt,,CJK-B)	𡜔
(女⺊⺝,SmDhMd,,CJK-B)	𡜕
(女日,SmHsJe,,CJK-B)	𡜖
(女厶日,SmNdJe,,CJK-B)	𡜗
(女千女,SmHcSm,,CJK-B)	𡜘
(女夕阝,SmXuTj,,CJK-B)	𡜙
(女而,SmUa,rú,CJK-B)	𡜚
(小口女,OtIqSm,,CJK-B)	𡜛
(女,SmJz,,CJK-B)	𡜜
(冂一口女,ZvFhIqSm,,CJK-B)	𡜝
(女丿匕乚,SmCkHsPv,,CJK-B)	𡜞
(亻王女,KjGiSm,,CJK-B)	𡜟
(女夂㐄,SmJtGj,,CJK-B)	𡜠
(氵一𬺰女,HgFhGlSm,,CJK-B)	𡜡
(女尸尸,SmMzMz,mǎo,CJK-B)	𡜢
(女巛工,SmJvNv,,CJK-B)	𡜣
(女土也,SmBmHe,,CJK-B)	𡜤
(女丿㠯,SmCkUs,duī,CJK-B)	𡜥
(十⺿女,GlWhSm,huì,CJK-B)	𡜦
(女丿龱,SmCkLw,xì,CJK-B)	𡜧
(女亻木,SmKjAj,xiū,CJK-B)	𡜨
(士口女,MfIqSm,,CJK-B)	𡜩
(女巛山,SmJvDs,,CJK-B)	𡜪
(女厶⺆亠,SmNdZvUe,rǎn,CJK-B)	𡜫
(女亻丿,SmKjSiCk,yī,CJK-B)	𡜬
(囗大女,UdXiSm,,CJK-B)	𡜭
(女⺁一巴,SmOyFhEw,,CJK-B)	𡜮
(女耳㇗,SmQgPv,zhé,CJK-B)	𡜯
(囗人人女,UdSiSiSm,,CJK-B)	𡜰
(女己心,SmJcNg,jì,CJK-B)	𡜱
(女⺧口,SmLzIq,gào,CJK-B)	𡜲
(女酉,SmTi,yòu,CJK-B)	𡜳
(女冂人口,SmZvSiIq,,CJK-B)	𡜴
(女甫,SmGn,pū,CJK-B)	𡜵
(女氏口,SmQuIq,,CJK-B)	𡜶
(女宀一⺊ㄅ,SmErFhPv,,CJK-B)	𡜷
(囗八冂女,UdVyZvSm,,CJK-B)	𡜸
(牙阝女,YbTjSm,,CJK-B)	𡜹
(女木口,SmAjIq,,CJK-B)	𡜺
(女宀木,SmErAj,,CJK-B)	𡜻
(女囗,SmUdIq,,CJK-B)	𡜼
(⺌⺝女,OtMdSm,,CJK-B)	𡜽
(女广予,SmGpMa,,CJK-B)	𡜾
(女亠田,SmUeSl,,CJK-B)	𡜿
(女車,SmJl,,CJK-B)	𡝀
(束女,UhSm,,CJK-B)	𡝁
(女爿士,SmNbMf,,CJK-B)	𡝂
(女止,SmLdLd,,CJK-B)	𡝃
(女⺿一,SmWhFhOs,,CJK-B)	𡝄
(女艹夕,SmWhXu,,CJK-B)	𡝅
(女冂八口,SmZvVyIq,,CJK-B)	𡝆
(女爫土,SmToBm,,CJK-B)	𡝇
(女夫女,SmSvSm,chù,CJK-B)	𡝈
(夫女女,SvSmSm,cū,CJK-B)	𡝉
(女扌斤,SmPcOz,zhé,CJK-B)	𡝊
(女木女,SmAjSm,niǎo,CJK-B)	𡝋
(辰女,QnSm,,CJK-B)	𡝌
(女豕,SmKt,qiè,CJK-B)	𡝍
(日干女,JeLrSm,,CJK-B)	𡝎
(女宀一丨㇗𠃌,SmErFhPv,,CJK-B)	𡝏
(女人禾,SmSiZp,chá,CJK-B)	𡝐
(月己女,MdJcSm,,CJK-B)	𡝑
(女忄攵,SmNgRy,niǎo,CJK-B)	𡝒
(女勹又女,SmSnWiSm,suī,CJK-B)	𡝓
(土厶力女,BmNdAuSm,,CJK-B)	𡝔
(女巴三,SmEwQn,,CJK-B)	𡝕
(女刀丶心,SmKgOeNg,,CJK-B)	𡝖
(女丿口,SmSiCkIq,,CJK-B)	𡝗
(女彐水,SmSiHg,,CJK-B)	𡝘
(女人示,SmSiDd,chá,CJK-B)	𡝙
(女口王,SmIqGi,chéng,CJK-B)	𡝚
(女又干凵,SmWiLrZv,yáo,CJK-B)	𡝛
(女⺁古,SmOyQm,dù,CJK-B)	𡝜
(氵王女,HgGiSm,wāng,CJK-B)	𡝝
(月巴女,MdEwSm,,CJK-B)	𡝞
(女禾千,SmZpHc,niàn,CJK-B)	𡝟
(弓⺈小女,OdRlOtSm,mí,CJK-B)	𡝠
(弓人小女,OdSiOtSm,,CJK-B)	𡝡
(女戶犬,SmFkLe,,CJK-B)	𡝢
(女,XySm,,CJK-B)	𡝣
(口一口丨女,IqFhIqSm,,CJK-B)	𡝤
(女木,SmPdAj,,CJK-B)	𡝥
(女爫子乚,SmToYdPv,nǒu,CJK-B)	𡝦
(牛巾刂女,LzUwKgSm,xì,CJK-B)	𡝧
(丨女,WiKsSm,,CJK-B)	𡝨
(女⺿丿大,SmWhCkXi,yāo,CJK-B)	𡝩
(氏日女,QuJeSm,,CJK-B)	𡝪
(氵⺊口女,HgDhIqSm,chān,CJK-B)	𡝫
(女宀王丶,SmErGiOe,,CJK-B)	𡝬
(女⺜⺝,SmJeMd,,CJK-B)	𡝭
(女宀且,SmErRh,,CJK-B)	𡝮
(女氺,SmSiHg,,CJK-B)	𡝯
(女扌立,SmPcYq,,CJK-B)	𡝰
(女⺿八刀,SmWhVyKg,,CJK-B)	𡝱
(女勹心,SmSnBlNg,,CJK-B)	𡝲
(女⺿之,SmWhDo,,CJK-B)	𡝳
(女⺿二儿,SmWhRlAh,,CJK-B)	𡝴
(女亠人人十,SmUeSiGl,,CJK-B)	𡝵
(方攵女,MxRySm,,CJK-B)	𡝶
(龸宀女,XyErSm,,CJK-B)	𡝷
(⺷儿女,IdAhSm,,CJK-B)	𡝸
(女子皿,SmYdBk,,CJK-B)	𡝹
(女王攵,SmGiRy,,CJK-B)	𡝺
(女大丷二ㄅ,SmXiVyPv,,CJK-B)	𡝻
(尸氺女,MzHgSm,,CJK-B)	𡝼
(一吕丨女,FhNfKsSm,,CJK-B)	𡝽
(女又丷丰,SmWiVyZh,,CJK-B)	𡝾
(女⺿牙,SmWhYb,,CJK-B)	𡝿
(女尚,SmXy,,CJK-B)	𡞀
(女⺿欠,SmWhFy,,CJK-B)	𡞁
(女匕月,SmHsHsMd,,CJK-B)	𡞂
(女白大,SmDyXi,,CJK-B)	𡞃
(女臼一ㄅ,SmWiFhPv,,CJK-B)	𡞄
(幺亠幺女,BlUeBlSm,,CJK-B)	𡞅
(女人,SmSiVl,,CJK-B)	𡞆
(女月月,SmMdMd,,CJK-B)	𡞇
(女禾口,SmZpIq,,CJK-B)	𡞈
(女白女,SmDySm,,CJK-B)	𡞉
(女丿大火,SmCkXiYv,,CJK-B)	𡞊
(女厶大彡,SmNdXiBl,,CJK-B)	𡞋
(女白廾,SmDyWh,,CJK-B)	𡞌
(女{凬字心}丨厶,SmTeKsNd,,CJK-B)	𡞍
(女靣,SmHf,,CJK-B)	𡞎
(女大示,SmXiDd,,CJK-B)	𡞏
(女口古,SmIqQm,,CJK-B)	𡞐
(女田丌,SmSlWh,,CJK-B)	𡞑
(彐冖巾女,SiErUwSm,,CJK-B)	𡞒
(爿木女,NbAjSm,,CJK-B)	𡞓
(毌口丨女,SfIqKsSm,,CJK-B)	𡞔
(女夂田,SmJtSl,,CJK-B)	𡞕
(女广氏丶,SmGpQuOe,,CJK-B)	𡞖
(女㇏,SmZhOePc,,CJK-B)	𡞗
(女立女,SmYqSm,xiè,CJK-B)	𡞘
(女亡目,SmXcGy,miè,CJK-B)	𡞙
(女止⺝,SmLdMd,kěng,CJK-B)	𡞚
(女穴干,SmZiLr,,CJK-B)	𡞛
(丷酉女,VyTiSm,cù,CJK-B)	𡞜
(女䒑自,SmVyCj,,CJK-B)	𡞝
(女小丿目,SmOtCkGy,shěng,CJK-B)	𡞞
(丷⺁又女,VyPcOySm,pàn,CJK-B)	𡞟
(氵舌女,HgVlSm,hù,CJK-B)	𡞠
(女匚大人人,SmEhXiSi,,CJK-B)	𡞡
(女古儿刂,SmQmAhKg,kè,CJK-B)	𡞢
(戊一口女,UcFhIqSm,xiàn,CJK-B)	𡞣
(女{凬字心}丨{云变},SmTeKsPd,,CJK-B)	𡞤
(女⺈厂矢,SmRlOyEu,hóu,CJK-B)	𡞥
(女勹日子,SmSnJeYd,qióng,CJK-B)	𡞦
(女㐅凵八夂,SmOsZvJt,zōng,CJK-B)	𡞧
(女戈甲,SmIeSt,,CJK-B)	𡞨
(厶貝女,NdIcSm,,CJK-B)	𡞩
(女𠂉日夂,SmLdJeJt,fú,CJK-B)	𡞪
(女木示,SmAjDd,nài,CJK-B)	𡞫
(女户𠂇乂丶,SmFkGlOe,,CJK-B)	𡞬
(女臼巾,SmWiUw,nì,CJK-B)	𡞭
(女匚コ木,SmEhEhAj,,CJK-B)	𡞮
(女⺿古,SmWhQm,kǔ,CJK-B)	𡞯
(女䒑幺幺,SmVyBlBl,,CJK-B)	𡞰
(女米女,SmMgSm,,CJK-B)	𡞱
(女臼丨一ㄅ,SmWiKsPv,,CJK-B)	𡞲
(女癶一大,SmVyFhXi,,CJK-B)	𡞳
(女⺿干丷,SmWhLrVy,,CJK-B)	𡞴
(女⺈冂八大,SmRlZvXi,,CJK-B)	𡞵
(女穴方,SmZiMx,,CJK-B)	𡞶
(女乛水灬,SmPvHgYv,,CJK-B)	𡞷
(女束刂,SmUhKg,,CJK-B)	𡞸
(女聿廴,SmUaVv,,CJK-B)	𡞹
(耳口女,QgIqSm,,CJK-B)	𡞺
(女覀土,SmQpBm,,CJK-B)	𡞻
(女厂丿囗小,SmOyCkOt,,CJK-B)	𡞼
(女土又,SmBmYvWi,,CJK-B)	𡞽
(女而女,SmUaSm,nèn,CJK-B)	𡞾
(女了口又凵,SmFuIqZv,,CJK-B)	𡞿
(女⺿亼龴,SmWhTuNd,,CJK-B)	𡟀
(女古攵,SmQmRy,,CJK-B)	𡟁
(女刀丶刀丶二ㄅ,SmKgOePv,,CJK-B)	𡟂
(女⺿夕⺋,SmWhXuWj,,CJK-B)	𡟃
(女日立,SmJeYq,,CJK-B)	𡟄
(女糹勹丶,SmHtSnOe,,CJK-B)	𡟅
(女八刀皿,SmVyKgBk,,CJK-B)	𡟆
(女彑,SmSiKt,,CJK-B)	𡟇
(女⺁十目,SmOyGlGy,,CJK-B)	𡟈
(女丿𡆪儿,SmCkRwAh,,CJK-B)	𡟉
(女禾火,SmZpYv,,CJK-B)	𡟊
(未攵女,JxRySm,,CJK-B)	𡟋
(女士口女,SmMfIqSm,,CJK-B)	𡟌
(女革,SmGo,gē,CJK-B)	𡟍
(女口虫,SmIqJw,,CJK-B)	𡟎
(女囗虫,SmUdJw,,CJK-B)	𡟏
(女𠂉足,SmLdUz,,CJK-B)	𡟐
(女亻矢,SmKjEhEu,hóu,CJK-B)	𡟑
(女丷夫女,SmVySvSm,,CJK-B)	𡟒
(女衣口,SmOrIq,āi,CJK-B)	𡟓
(女二欠口,SmRlFyIq,,CJK-B)	𡟔
(方𠂉也女,MxLdHeSm,shī,CJK-B)	𡟕
(氵宀女女,HgErSmSm,,CJK-B)	𡟖
(女女女大,SmSmSmXi,,CJK-B)	𡟗
(女厶夫女,SmNdSvSm,,CJK-B)	𡟘
(女日生,SmJeDh,,CJK-B)	𡟙
(女乃又皿,SmViWiBk,,CJK-B)	𡟚
(女尸䒑廾,SmMzVyWh,,CJK-B)	𡟛
(女⺷女,SmIdSm,,CJK-B)	𡟜
(女丷豕,SmVyKt,,CJK-B)	𡟝
(女亻丨夂彡,SmKjKsBl,xiū,CJK-B)	𡟞
(女勹丶心,SmSnBlNg,cōng,CJK-B)	𡟟
(女目㇗巛,SmGyPvJv,jiāo,CJK-B)	𡟠
(女丿大,SmCkXiId,,CJK-B)	𡟡
(女千人人凵,SmHcSiZv,zhá,CJK-B)	𡟢
(女虍巾,SmQbUw,xiāo,CJK-B)	𡟣
(女口乚目,SmIqPvGy,liàn,CJK-B)	𡟤
(女丿口⽱,SmCkIqFj,qǔ,CJK-B)	𡟥
(女舟阝,SmLkTj,,CJK-B)	𡟦
(女丶艮卩,SmOeTpWj,,CJK-B)	𡟧
(阝大入入女,TjXiXjSm,shǎn,CJK-B)	𡟨
(女尸⺌⺼,SmMzOtMd,xiè,CJK-B)	𡟩
(女丿㠯一巾,SmCkUsUw,,CJK-B)	𡟪
(女工貝,SmNvIc,gòng,CJK-B)	𡟫
(女戊一火,SmUcFhYv,miè,CJK-B)	𡟬
(女尸辛,SmMzJt,chái,CJK-B)	𡟭
(丿臣巳女,CkDzDuSm,,CJK-B)	𡟮
(女囗大心,SmUdXiNg,ēn,CJK-B)	𡟯
(女冖兔,SmErZh,,CJK-B)	𡟰
(女⺿勹日,SmWhSnJe,,CJK-B)	𡟱
(女宀丰口,SmErZhIq,,CJK-B)	𡟲
(女,SmWu,dòu,CJK-B)	𡟳
(女丿㠯辶,SmCkUsLt,,CJK-B)	𡟴
(女可可,SmZjZj,,CJK-B)	𡟵
(女山丿扌,SmDsCkIe,,CJK-B)	𡟶
(女白大十,SmDyXiGl,,CJK-B)	𡟷
(女厶羽,SmVyNdEh,,CJK-B)	𡟸
(女至攵,SmCyRy,,CJK-B)	𡟹
(女一自夂,SmFhCjJt,,CJK-B)	𡟺
(女艹囗大,SmWhUdXi,,CJK-B)	𡟻
(女彑豕丶,SmSiKtOe,,CJK-B)	𡟼
(女土,SmFmBm,,CJK-B)	𡟽
(女广丿士廴,SmGpCkVv,,CJK-B)	𡟾
(⺷女五,IdSmJi,,CJK-B)	𡟿
(女高,SmWn,,CJK-B)	𡠀
(女又丶虫,SmWiOeJw,,CJK-B)	𡠁
(女一业日,SmFhOqJe,,CJK-B)	𡠂
(未戉女,JxUcSm,,CJK-B)	𡠃
(女烏,SmTz,,CJK-B)	𡠄
(矢矢女,EuEuSm,,CJK-B)	𡠅
({彀字框无一}一女,VsFhSm,kòu,CJK-B)	𡠆
(女覀心,SmQpNg,,CJK-B)	𡠇
(一冂人一冂人女,FhZvSiSm,,CJK-B)	𡠈
(牙攵厂女,YbRyOySm,,CJK-B)	𡠉
(女亻丨夂木,SmKjKsAj,tiáo,CJK-B)	𡠊
(丿㠯一巾女,CkUsFhSm,shī,CJK-B)	𡠋
(女丿龱匕,SmCkLwHs,,CJK-B)	𡠌
(勹覀女,SnBlQpSm,,CJK-B)	𡠍
(女⺶乚厶,SmIdPvNd,,CJK-B)	𡠎
(女又又又木,SmWiWiAj,sāng,CJK-B)	𡠏
(女厶厶田十,SmNdNdGl,,CJK-B)	𡠐
(女一口八,SmFhIqVy,,CJK-B)	𡠑
(女幺幺卝,SmBlBlWh,guān,CJK-B)	𡠒
(亻隹女,KjVhSm,,CJK-B)	𡠓
(女止⺝刂,SmLdMdKg,,CJK-B)	𡠔
(女日乛疋,SmJePvKf,,CJK-B)	𡠕
(女自冫十,SmCjLvGl,hào,CJK-B)	𡠖
(土丸女,BmIdTkSm,zhì,CJK-B)	𡠗
(女卝土丶水,SmWhBmHg,yàng,CJK-B)	𡠘
(女龴用辶,SmNdQlLt,tōng,CJK-B)	𡠙
(女田艹,SmSlWhPc,bì,CJK-B)	𡠚
(女吕丨心,SmNfKsNg,,CJK-B)	𡠛
(⺿日大女,WhJeXiSm,mó_mò,CJK-B)	𡠜
(王見女,GiScSm,,CJK-B)	𡠝
(女⺮亻寸,SmZiKjLw,fú,CJK-B)	𡠞
(女尸丿口⽱,SmMzCkFj,,CJK-B)	𡠟
(女土,SmXyBm,,CJK-B)	𡠠
(女止⺝刂,SmLdMdKg,,CJK-B)	𡠡
(羽人彡女,EhSiBlSm,,CJK-B)	𡠢
(女旡,SmTpUe,,CJK-B)	𡠣
(女弓口虫,SmOdIqJw,,CJK-B)	𡠤
(弓厶虫女,OdNdJwSm,qiáng,CJK-B)	𡠥
(土八土丸女,BmVyBmSm,,CJK-B)	𡠦
(丸女,MzVyTkSm,,CJK-B)	𡠧
(女⺮𢎨,SmZiUv,,CJK-B)	𡠨
(女臣又土,SmDzWiBm,,CJK-B)	𡠩
(女廿巾入入,SmXkUwXj,,CJK-B)	𡠪
(女木𠂉母,SmAjLdQt,,CJK-B)	𡠫
(女土攵,SmBmYvRy,,CJK-B)	𡠬
(女,SmTfSi,,CJK-B)	𡠭
(女了口又灬,SmFuIqYv,,CJK-B)	𡠮
(女龶女攵,SmZhSmRy,,CJK-B)	𡠯
(女山日匕,SmDsJeHs,,CJK-B)	𡠰
(女山侖,SmDsSy,,CJK-B)	𡠱
(女田龷八,SmSlXkVy,,CJK-B)	𡠲
(女門𬺰丿,SmAcGlCk,,CJK-B)	𡠳
(女丿心,SmCkLwNg,,CJK-B)	𡠴
(女魚,SmXl,,CJK-B)	𡠵
(女金勹丶,SmTkSnOe,,CJK-B)	𡠶
(匚⺿𠂇口女,EhWhGlSm,,CJK-B)	𡠷
(女工几耳,SmNvPsQg,,CJK-B)	𡠸
(女冖巾,SmDsErUw,zhì,CJK-B)	𡠹
(火火宀女,YvYvErSm,,CJK-B)	𡠺
(女⺧口辶,SmLzIqLt,,CJK-B)	𡠻
(束攵女,UhRySm,sōu,CJK-B)	𡠼
(女戊⺊一小,SmUcDhOt,,CJK-B)	𡠽
(女山一口攵,SmDsFhRy,,CJK-B)	𡠾
(女木,SmTlAj,niǎo,CJK-B)	𡠿
(女丷夫目,SmVySvGy,juàn,CJK-B)	𡡀
(女丿米心,SmCkMgNg,,CJK-B)	𡡁
(女⺷丶水,SmIdOeHg,yàng,CJK-B)	𡡂
(女穴儿冫,SmZiAhLv,,CJK-B)	𡡃
(女艹,SmWhPcJv,huāng,CJK-B)	𡡄
(女鳥,SmTl,,CJK-B)	𡡅
(女目艮,SmGyTp,,CJK-B)	𡡆
(女⺷皿,SmIdBk,,CJK-B)	𡡇
(女山月月,SmDsMdMd,bēng,CJK-B)	𡡈
(麻女,OnSm,mó,CJK-B)	𡡉
(女巛田木,SmJvSlAj,cháo,CJK-B)	𡡊
(臼丨一口丨女,WiKsFhSm,,CJK-B)	𡡋
(女大人人心,SmXiSiNg,,CJK-B)	𡡌
(女方足,SmMxUz,,CJK-B)	𡡍
(女口一口丨女,SmIqFhSm,lǚ_lóu,CJK-B)	𡡎
(禾⺌⺝女,ZpOtMdSm,shāo,CJK-B)	𡡏
(女业⺶㇏,SmOqIdOe,bǔ,CJK-B)	𡡐
(女丷囗⺌日,SmVyUdJe,zēng,CJK-B)	𡡑
(女斤,SmMzVyOz,sī_xī,CJK-B)	𡡒
(彡女頁,BlSmWv,,CJK-B)	𡡓
(女日耳又,SmJeQgWi,zuì,CJK-B)	𡡔
(厂䒑欠女,OyVyIaSm,yuē,CJK-B)	𡡕
(女旡旡日,SmUeUeJe,zān_cān,CJK-B)	𡡖
(女爫龴冂厶又,SmToNdWi,luǎn_luàn,CJK-B)	𡡗
(土㇈女,BmIdPvSm,,CJK-B)	𡡘
(阝𠂇工⺝女,TjGlNvSm,,CJK-B)	𡡙
(人人丨厂目女,SiSiKsSm,,CJK-B)	𡡚
(女戊𠃌皿,SmUcPvBk,,CJK-B)	𡡛
(一目一目女,FhGyFhSm,,CJK-B)	𡡜
(女䒑业日,SmVyOqJe,,CJK-B)	𡡝
(女爫冖夕㐄,SmToErGj,,CJK-B)	𡡞
(女刀丶止刀丶止,SmKgOeLd,,CJK-B)	𡡟
(女{云变}⺼攵,SmPdMdRy,,CJK-B)	𡡠
(女日小,SmJeWnOt,,CJK-B)	𡡡
(女木,SmXyAj,,CJK-B)	𡡢
(女艹勹米,SmWhSnMg,,CJK-B)	𡡣
(女幺幺戈人,SmBlBlSi,,CJK-B)	𡡤
(女氵匚コ木,SmHgEhAj,qú,CJK-B)	𡡥
(女阝丷豕,SmTjVyKt,,CJK-B)	𡡦
(女矢口日,SmEuIqJe,,CJK-B)	𡡧
(女穴丨日,SmZiKsVy,,CJK-B)	𡡨
(女宀一口田,SmErFhSl,,CJK-B)	𡡩
(女穴辰,SmZiQn,,CJK-B)	𡡪
(女立,SmYqSiYv,,CJK-B)	𡡫
(女子攵,SmWnYdRy,,CJK-B)	𡡬
