゛,Lv	⺀
⺮冂八口大,ZiZvVyXi	𥱁
⺮聿水,ZiUaHg	𥱂
⺮儿辶,ZiZhAhLt	𥱃
⺮一大虫,ZiFhXiJw	𥱄
⺮囗人人廾,ZiUdSiWh	𥱅
⺮立至,ZiYqCy	𥱆
⺮而火,ZiUaYv	𥱇
⺮身寸,ZiLcLw	𥱈
⺮犭丶艮,ZiLeOeTp	𥱉
⺮广廿巾,ZiGpXkUw	𥱊
⺮氵刀丶木,ZiHgKgAj	𥱋
⺮亻丨矢,ZiKjKsEu	𥱌
⺮車几丶,ZiJlPsOe	𥱍
⺮廿㇗冂土,ZiXkPvBm	𥱎
⺮井王冂,ZiBzGiZv	𥱏
⺮口里,ZiIqDn	𥱐
⺮⺷儿厶,ZiIdAhNd	𥱑
⺮氵工人人,ZiHgNvSi	𥱒
⺮木一囗人,ZiAjFhSi	𥱓
⺮一戈皿,ZiFhIeBk	𥱔
⺮厶,ZiMzVyNd	𥱕
⺮子丿糸,ZiYdCkHt	𥱖
⺮一冂人戊,ZiFhZvUc	𥱗
⺮𠂇厶木,ZiGlNdAj	𥱘
⺮而攵,ZiUaRy	𥱙
⺮民皿,ZiNsBk	𥱚
⺮木西,ZiAjQp	𥱛
⺮木匚王,ZiAjEhGi	𥱜
⺮木匚斤,ZiAjEhOz	𥱝
⺮米丿几丶,ZiMgCkOe	𥱞
⺮口亼一口,ZiIqTuIq	𥱟
⺮口⺧口,ZiIqLzIq	𥱠
⺮罒戊,ZiYtUc	𥱡
⺮罒亻弋,ZiYtKjNd	𥱢
⺮亼口人人,ZiTuIqSi	𥱣
⺮亻丨夂彡,ZiKjKsBl	𥱤
⺮阝夂木,ZiTjJtAj	𥱥
⺮糹斗,ZiHtPf	𥱦
⺮㇏禾,ZiZhOeZp	𥱧
⺮龶糸,ZiZhHt	𥱨
⺮土人,ZiBmIdSi	𥱩
⺮⾻,ZiFv	𥱪
⺮大镸,ZiXiSi	𥱫
⺮言己,ZiMeJc	𥱬
⺮亻長,ZiKjSi	𥱭
⺮扌爫女,ZiPcToSm	𥱮
⺮日土寸,ZiJeBmLw	𥱯
⺮彳走,ZiJbQo	𥱰
⺮立⺊口,ZiYqDhIq	𥱱
⺮虍文,ZiQbWm	𥱲
⺮丶阝,ZiOeTpTj	𥱳
⺮扌甫,ZiPcGn	𥱴
⺮羽白,ZiEhDy	𥱵
⺮大乂乂乂乂,ZiXiOsOs	𥱶
⺮亽ヿ貝,ZiTuPvIc	𥱷
⺮匚口吅,ZiEhIqRu	𥱸
⺮⺿日大,ZiWhJeXi	𥱹
⺮覀大⺋,ZiQpXiWj	𥱺
⺮人禾辶,ZiSiZpLt	𥱻
⺮氵白丿十,ZiHgDyGl	𥱼
⺮囗丷夫⺋,ZiUdVyWj	𥱽
⺮⺊𱕻,ZiDhLw	𥱾
⺮虍夂几,ZiQbJtPs	𥱿
⺮巛田木,ZiJvSlAj	𥲀
⺮而瓦,ZiUaFn	𥲁
⺮氵丿丿干,ZiHgCkLr	𥲂
⺮宀二儿攵,ZiErRlRy	𥲃
⺮氵火火,ZiHgYvYv	𥲄
⺮己コ匚心,ZiJcEhNg	𥲅
⺮龴用辶,ZiNdQlLt	𥲆
⺮身冖儿,ZiLcErAh	𥲇
⺮廿巾入入,ZiXkUwXj	𥲈
⺮虍丿丷𬺰,ZiQbCkGl	𥲉
⺮耳卯,ZiQgFm	𥲊
⺮行亠幺,ZiFjUeBl	𥲋
⺮氵乛氺凵,ZiHgPvZv	𥲌
⺮一曲日,ZiFhRwJe	𥲍
⺮阝土八土,ZiTjBmBm	𥲎
⺮日廾殳,ZiJeWhQi	𥲏
⺮木五口,ZiAjJiIq	𥲐
⺮日罒又,ZiJeYtWi	𥲑
⺮工㇈木,ZiNvPvAj	𥲒
⺮一冂㐅王,ZiFhIqGi	𥲓
⺮一口里,ZiFhIqDn	𥲔
⺮止匕糸,ZiLdHsHt	𥲕
⺮⺊𠕁攵,ZiDhJzRy	𥲖
⺮阝宀疋,ZiTjErKf	𥲗
⺮女又衣,ZiSmWiOr	𥲘
⺮井一,ZiBzFhJz	𥲙
⺮氵宀示,ZiHgErDd	𥲚
⺮糹亻寸,ZiHtKjLw	𥲛
⺮虍皿,ZiQbBk	𥲜
⺮皮,ZiSiSiEm	𥲝
⺮虫囗口,ZiJwUdIq	𥲞
⺮金勹丶,ZiTkSnOe	𥲟
⺮亡月王,ZiXcMdGi	𥲠
⺮穴厶心,ZiZiNdNg	𥲡
⺮囗木木,ZiUdAjAj	𥲢
⺮貝斤,ZiIcOz	𥲣
⺮虍业,ZiQbOq	𥲤
⺮亼口皿,ZiTuIqBk	𥲥
⺮覀大丷,ZiQpXiVy	𥲦
⺮禾刂木,ZiZpKgAj	𥲧
⺮貝毛,ZiIcOu	𥲨
⺮大人,ZiXiIdSi	𥲩
⺮未攵厂,ZiJxRyOy	𥲪
⺮䒑⺝刂刀,ZiVyMdKg	𥲫
⺮方𠂉氏,ZiMxLdQu	𥲬
⺮冖巾,ZiDsErUw	𥲭
⺮日刂,ZiWnJeKg	𥲮
⺮耂子攵,ZiRiYdRy	𥲯
⺮豕,ZiYqKt	𥲰
⺮氵隹,ZiHgVh	𥲱
⺮彡,ZiMzVyBl	𥲲
⺮扌冖巾,ZiPcSiUw	𥲳
⺮木一自,ZiAjFhCj	𥲴
⺮扌䒑业,ZiPcVyOq	𥲵
⺮扌㇏,ZiPcZhPc	𥲶
⺮扌癶手,ZiPcVyPc	𥲷
⺮日大⺗,ZiJeXiNg	𥲸
⺮目又日,ZiGyWiJe	𥲹
⺮田日十,ZiSlJeGl	𥲺
⺮目大巳,ZiGyXiDu	𥲻
⺮亻一冂人攴,ZiKjFhRy	𥲼
⺮人人土辶,ZiSiSiLt	𥲽
⺮勹韋,ZiSnIw	𥲾
⺮羽人彡,ZiEhSiBl	𥲿
⺮尸示寸,ZiMzDdLw	𥳀
⺮虍,ZiQbWu	𥳁
⺮田各,ZiSlQy	𥳂
⺮户口攵,ZiFkIqRy	𥳃
⺮宀一由八,ZiErFhVy	𥳄
⺮言辶,ZiMeLt	𥳅
⺮㡀攵,ZiKtRy	𥳆
⺮彳𠂉日夂,ZiJbLdJt	𥳇
⺮毛毛毛,ZiOuOuOu	𥳈
⺮耂日阝,ZiRiJeTj	𥳉
⺮癶弓殳,ZiVyOdQi	𥳊
⺮厶厶厶人⺗,ZiNdNdNg	𥳋
⺮阝夂一生,ZiTjJtDh	𥳌
⺮工口寸,ZiSiNvLw	𥳍
⺮工几丶虫,ZiNvPsJw	𥳎
⺮幺幺戈人,ZiBlBlSi	𥳏
⺮門一廾,ZiAcFhWh	𥳐
⺮門月,ZiAcMd	𥳑
⺮氵戊一口,ZiHgUcIq	𥳒
⺮禾⺌⺝,ZiZpOtMd	𥳓
⺮阝𠂇工⺼,ZiTjGlMd	𥳔
⺮人予,ZiSiVlMa	𥳕
⺮木立口,ZiAjYqIq	𥳖
⺮彡頁,ZiBlWv	𥳗
⺮立里,ZiYqDn	𥳘
⺮囗山而,ZiUdDsUa	𥳙
⺮犬灬,ZiMdLeYv	𥳚
⺮小尤,ZiWnOtGh	𥳛
⺮阝日一勹,ZiTjJeBl	𥳜
⺮心心心,ZiNgNgNg	𥳝
⺮米夕㐄,ZiMgXuGj	𥳞
⺮隹辶,ZiVhLt	𥳟
⺮虎辶,ZiQbLt	𥳠
⺮十艹貝,ZiGlWhIc	𥳡
⺮丷酉大,ZiVyTiXi	𥳢
⺮日耳又,ZiJeQgWi	𥳣
⺮豕丶辶,ZiKtOeLt	𥳤
⺮宀心用,ZiErNgQl	𥳥
⺮尚小丿,ZiXyOtCk	𥳦
⺮王止龰,ZiGiLdLd	𥳧
⺮尸几口殳,ZiMzPsQi	𥳨
⺮卯田刂,ZiFmSlKg	𥳩
⺮目廾辶,ZiGyWhLt	𥳪
⺮𠕁⺼,ZiJzVyMd	𥳫
⺮黑,ZiUc	𥳬
⺮止舟刀,ZiLdLkKg	𥳭
⺮厶厶厶糸,ZiNdNdHt	𥳮
⺮木龷日,ZiAjXkJe	𥳯
⺮丷酉寸,ZiVyTiLw	𥳰
⺮⺧儿⺧儿,ZiLzAhAh	𥳱
⺮阝日立,ZiTjJeYq	𥳲
⺮扌日疋,ZiPcJeKf	𥳳
⺮㐅𠂇⺝殳,ZiOsGlQi	𥳴
⺮糹⺈巴,ZiHtRlEw	𥳵
⺮手,ZiXyPc	𥳶
⺮氵䒑⺝刂,ZiHgVyKg	𥳷
⺮人工見,ZiSiNvSc	𥳸
⺮人工貝,ZiSiNvIc	𥳹
⺮扌勹丶心,ZiPcSnNg	𥳺
⺮氵龶母,ZiHgZhQt	𥳻
⺮禾日干,ZiZpJeLr	𥳼
⺮欠,ZiMzVyFy	𥳽
⺮金勹冫,ZiTkSnLv	𥳾
⺮兔辶,ZiZhLt	𥳿
火耒土,YvFuBm	𥴀
⺮里,ZiWnDn	𥴁
⺮田一艹,ZiSlFhPc	𥴂
⺮二欠日十,ZiRlFyGl	𥴃
⺮冖八⺊日十,ZiErVyGl	𥴄
⺮米西,ZiMgQp	𥴅
⺮土卩又,ZiBmIdWi	𥴆
⺮木㇏,ZiAjZhPc	𥴇
⺮木戈戈,ZiAjIeIe	𥴈
⺮日,ZiKdKdJe	𥴉
⺮工耳攵,ZiNvQgRy	𥴊
⺮工耳欠,ZiNvQgFy	𥴋
⺮目木,ZiGyVyAj	𥴌
⺮木癶干,ZiAjVyLr	𥴍
⺮冂人豕,ZiZvSiKt	𥴎
⺮金灬,ZiTkYv	𥴏
⺮工工工工,ZiNvNvNv	𥴐
⺮酉生,ZiTiDh	𥴑
竹竹竹,ZiZiZi	𥴒
⺮丿人人人人土,ZiCkSiBm	𥴓
⺮人人丨厂目,ZiSiSiGy	𥴔
⺮犭丷酉,ZiLeVyTi	𥴕
⺮木白丿十,ZiAjDyGl	𥴖
⺮糹儿,ZiHtPdAh	𥴗
⺮女甘木,ZiSmMzAj	𥴘
⺮木⺊日十,ZiAjDhGl	𥴙
⺮自冫十隹,ZiCjLvVh	𥴚
⺮木隹,ZiAjVh	𥴛
⺮言刀口,ZiMeKgIq	𥴜
⺮食阝,ZiOzTj	𥴝
⺮囗韋,ZiUdIw	𥴞
⺮木禾女,ZiAjZpSm	𥴟
⺮目大水,ZiGyXiHg	𥴠
⺮曲豆,ZiRwEi	𥴡
⺮禾隹,ZiZpVh	𥴢
⺮舟夂丰,ZiLkJtZh	𥴣
⺮月聿廴,ZiMdUaVv	𥴤
⺮門厶廾,ZiAcNdWh	𥴥
⺮丷豕辶,ZiVyKtLt	𥴦
⺮虍豕,ZiQbKt	𥴧
⺮爫冖心夂,ZiToErJt	𥴨
⺮阝鬲,ZiTjPw	𥴩
⺮田⽱辶,ZiSlFjLt	𥴪
⺮尸龷八殳,ZiMzXkQi	𥴫
⺮辟,ZiRk	𥴬
⺮木日勹亾,ZiAjJeXc	𥴭
⺮扌甫寸,ZiPcGnLw	𥴮
⺮广鬼,ZiGpBy	𥴯
⺮立龶⺝,ZiYqZhMd	𥴰
⺮一ㄅ灬,ZiCuFhYv	𥴱
⺮民攵心,ZiNsRyNg	𥴲
⺮弓夕夕心,ZiOdXuNg	𥴳
⺮金句,ZiTkTq	𥴴
⺮日大虫,ZiJeXiJw	𥴵
⺮夂㐄貝,ZiJtGjIc	𥴶
⺮歺又米,ZiQmWiMg	𥴷
⺮罒冖戊丶,ZiYtErOe	𥴸
⺮木冂貝,ZiAjZvIc	𥴹
⺮䒑幺幺心,ZiVyBlNg	𥴺
⺮扌人口,ZiPcSiIq	𥴻
⺮业䒑未,ZiOqVyJx	𥴼
⺮氵亻丨夂木,ZiHgKjAj	𥴽
⺮土甫寸,ZiBmGnLw	𥴾
⺮土口,ZiCuBmIq	𥴿
⺮日罒方,ZiJeYtMx	𥵀
⺮氺皿,ZiSiHgBk	𥵁
⺮虍口一大,ZiQbIqXi	𥵂
⺮戈戈皿,ZiIeIeBk	𥵃
⺮氵卯田,ZiHgFmSl	𥵄
⺮木勹丶心,ZiAjSnNg	𥵅
⺮音心,ZiArNg	𥵆
⺮王山而,ZiGiDsUa	𥵇
⺮土𠂉口皿,ZiBmLdBk	𥵈
⺮田,ZiTfSl	𥵉
⺮亼囗⺌日,ZiTuUdJe	𥵊
⺮亼罒册,ZiTuYtJz	𥵋
⺮亻鳥,ZiKjTl	𥵌
⺮犭丿㠯一巾,ZiLeCkUw	𥵍
⺮亻丿士貝,ZiKjCkIc	𥵎
⺮酉人王,ZiTiSiGi	𥵏
⺮大丷日火,ZiXiVyYv	𥵐
⺮目冖八冂冂,ZiGyErZv	𥵑
⺮日冖見,ZiJeErSc	𥵒
⺮臼土殳,ZiWiBmQi	𥵓
⺮石白丿十,ZiQqDyGl	𥵔
⺮日刀口灬,ZiJeKgYv	𥵕
⺮月田心,ZiMdSlNg	𥵖
⺮音欠,ZiArFy	𥵗
⺮日一亻歹刂,ZiJeFhKg	𥵘
⺮罒⺊日十,ZiYtDhGl	𥵙
⺮廿口龶力,ZiXkIqAu	𥵚
⺮曲辰,ZiRwQn	𥵛
⺮亻业⺶㇏,ZiKjOqOe	𥵜
⺮亽龴頁,ZiTuNdWv	𥵝
⺮十戈隹,ZiGlIeVh	𥵞
⺮罒耂日,ZiYtRiJe	𥵟
⺮{彀字框无一}禾,ZiVsZp	𥵠
⺮木井王冂,ZiAjBzZv	𥵡
⺮业⺷寸,ZiOqIdLw	𥵢
⺮立山而,ZiYqDsUa	𥵣
⺮糹⺊日十,ZiHtDhGl	𥵤
⺮氵廿巾入入,ZiHgXkXj	𥵥
⺮镸⺌⺼,ZiSiOtMd	𥵦
⺮⺻灬皿,ZiUaYvBk	𥵧
⺮自穴方,ZiCjZiMx	𥵨
⺮衤𠂉日夂,ZiOrLdJt	𥵩
⺮立尸䒑廾,ZiYqMzWh	𥵪
⺮耳又丿,ZiQgWiHg	𥵫
⺮广羽人彡,ZiGpEhBl	𥵬
⺮乂王,ZiWnOsGi	𥵭
⺮糹亽ヿ心,ZiHtTuNg	𥵮
⺮一丿犭一肀疋,ZiFhCkKf	𥵯
⺮木鬲,ZiAjPw	𥵰
⺮大勹手,ZiXiIdPc	𥵱
⺮冂人火火刂,ZiZvSiKg	𥵲
⺮羽立女,ZiEhYqSm	𥵳
⺮𠂉母攵心,ZiLdQtNg	𥵴
⺮⺿日大巾,ZiWhJeUw	𥵵
⺮𠕁舌,ZiJzVyVl	𥵶
⺮豸里,ZiLzDn	𥵷
⺮自冖八冂冂,ZiCjErZv	𥵸
⺮糹宀示,ZiHtErDd	𥵹
⺮目大口小,ZiGyXiOt	𥵺
⺮糹隹,ZiHtVh	𥵻
⺮工人人八石,ZiNvSiQq	𥵼
⺮士乙弓コ匚口,ZiMfJgIq	𥵽
⺮禾千里,ZiZpHcDn	𥵾
⺮艹冖一豕,ZiWhErKt	𥵿
⺮糹黾,ZiHtAy	𥶀
⺮束,ZiJtUh	𥶁
⺮夕夕,ZiMzVyXu	𥶂
⺮艹罒冖夕,ZiWhYtXu	𥶃
⺮女束攵,ZiSmUhRy	𥶄
⺮氵田,ZiHgFmSl	𥶅
⺮門口丿口,ZiAcIqIq	𥶆
⺮魚日,ZiXlJe	𥶇
⺮勹勹皮,ZiSnIaEm	𥶈
⺮目大丶艮,ZiGyXiTp	𥶉
音豆皿,ArEiBk	𥶊
⺮巾丿米田,ZiUwCkSl	𥶋
⺮虍田心,ZiQbSlNg	𥶌
⺮糹爫一𠂇又,ZiHtToWi	𥶍
⺮氵氵欠皿,ZiHgHgBk	𥶎
⺮言⺆土口,ZiMeZvIq	𥶏
⺮阝虫貝,ZiTjJwIc	𥶐
⺮⺷,ZiIdOz	𥶑
⺮火火夕㐄,ZiYvYvGj	𥶒
⺮罒厶⺼匕,ZiYtNdHs	𥶓
⺮灬,ZiCuYv	𥶔
⺮戶匕舌,ZiFkHsVl	𥶕
⺮罒火火刂,ZiYtYvKg	𥶖
⺮矢入米,ZiHsEuMg	𥶗
⺮宀臼勹灬,ZiErWiYv	𥶘
⺮丰丰心,ZiZhZhNg	𥶙
⺮𠕁⺧口,ZiJzVyIq	𥶚
⺮⻊日疋,ZiUzJeKf	𥶛
⺮女古辛,ZiSmQmJt	𥶜
⺮爿寸,ZiNbMdWh	𥶝
⺮氵丶艮皿,ZiHgOeBk	𥶞
⺮口吅人⺗,ZiIqRuNg	𥶟
⺮木厶厶厶人彡,ZiAjNdBl	𥶠
⺮車侖,ZiJlSy	𥶡
⺮巛,ZiJvQk	𥶢
⺮宀大丷日小,ZiErXiOt	𥶣
⺮耒冎口,ZiFuFvIq	𥶤
⺮木龴用辶,ZiAjNdLt	𥶥
⺮士罒貝,ZiMfYtIc	𥶦
⺮穴高,ZiZiWn	𥶧
⺮虫丶阝,ZiJwOeTj	𥶨
⺮日小彡,ZiJeWnBl	𥶩
⺮扌人人人人日,ZiPcSiJe	𥶪
⺮女人人丨厂目,ZiSmSiGy	𥶫
⺮丰丰彐灬,ZiZhZhYv	𥶬
⺮十日十人禾,ZiGlJeZp	𥶭
⺮木山隹,ZiAjDsVh	𥶮
鬼⺮由,ByZiIs	𥶯
⺮尸丷囗⺌日,ZiMzVyJe	𥶰
⺮白鬼,ZiDyBy	𥶱
⺮石石石,ZiQqQqQq	𥶲
⺮糹戊一口,ZiHtUcIq	𥶳
⺮阝𠂇工⺼土,ZiTjGlBm	𥶴
⺮臼米殳,ZiWiMgQi	𥶵
⺮土勹米,ZiBmIdMg	𥶶
⺮巳巳龷八辶,ZiDuDuLt	𥶷
⺮十田寸瓦,ZiGlSlFn	𥶸
⺮龶⺝爫,ZiZhMdUa	𥶹
⺮木,ZiMzVyAj	𥶺
⺮阝𠂇工⺝辶,ZiTjGlLt	𥶻
⺮阝丷豕辶,ZiTjVyLt	𥶼
⺮行韋,ZiFjIw	𥶽
⺮士示氺,ZiMfDdHg	𥶾
⺮門⺈臼,ZiAcRlWi	𥶿
⺮廿口匕灬,ZiXkIqYv	𥷀
⺮力辛,ZiJtAuJt	𥷁
⺮工人人吅廾,ZiNvSiWh	𥷂
⺮爿寸木,ZiNbMdAj	𥷃
⺮亼,ZiTuKt	𥷄
⺮厂禾禾火,ZiOyZpYv	𥷅
⺮{彀字框无一}一糸,ZiVsFhHt	𥷆
⺮吅犬吅,ZiRuLeRu	𥷇
⺮木立里,ZiAjYqDn	𥷈
⺮彳魚卩,ZiJbXlWj	𥷉
⺮大丷日小辶,ZiXiVyLt	𥷊
⺮吅田十斤,ZiRuSlOz	𥷋
⺮工耳攵心,ZiNvQgNg	𥷌
⺮日日金,ZiJeJeTk	𥷍
⺮止頁,ZiLdLdWv	𥷎
⺮金白巾,ZiTkDyUw	𥷏
⺮手罒大,ZiPcYtId	𥷐
⺮戊一口⺈用,ZiUcFhQl	𥷑
⺮厂禾禾止,ZiOyZpLd	𥷒
⺮飠爫女,ZiOzToSm	𥷓
⺮車,ZiWiJlVy	𥷔
⺮廿㇗木,ZiMzVyAj	𥷕
⺮米夕㐄瓦,ZiMgXuFn	𥷖
⺮木示氺,ZiAjDdHg	𥷗
⺮扌羽隹,ZiPcEhVh	𥷘
⺮罒厂火火刂,ZiYtOyKg	𥷙
⺮土勹言,ZiBmIdMe	𥷚
⺮小尤日一,ZiWnOtFh	𥷛
⺮隹風,ZiVhUy	𥷜
⺮尸龷八殳⺼,ZiMzXkMd	𥷝
⺮冂糸糸,ZiZvHtVy	𥷞
⺮水水欠皿,ZiHgHgBk	𥷟
⺮⺊囗,ZiDhUdMg	𥷠
⺮火僉,ZiYvOr	𥷡
⺮金刂,ZiFmTkKg	𥷢
⺮工人人吅又,ZiNvSiWi	𥷣
⺮大勹言,ZiXiIdMe	𥷤
⺮革勹米,ZiGoSnMg	𥷥
⺮⺊𱕻日十,ZiDhLwGl	𥷦
⺮氵羽隹,ZiHgEhVh	𥷧
⺮耳耳耳,ZiQgQgQg	𥷨
⺮亠人人木隹,ZiUeSiVh	𥷩
⺮扌十戈非一,ZiPcGlFh	𥷪
⺮黑士口,ZiUcMfIq	𥷫
⺮艹吅隹,ZiWhRuVh	𥷬
⺮木木冂人人攴,ZiAjAjRy	𥷭
⺮爫罒寸,ZiToYtLw	𥷮
⺮廿廿人目一𬺰,ZiXkXkGl	𥷯
⺮氵十戈非一,ZiHgGlFh	𥷰
⺮覀彳𠂉日夂,ZiQpJbJt	𥷱
⺮彳魚攵,ZiJbXlRy	𥷲
⺮齒𠂉乙,ZiYbLdJg	𥷳
⺮大羊勹言,ZiXiIdMe	𥷴
⺮亡罒耳,ZiXcYtQg	𥷵
⺮亡罒⺼女,ZiXcYtSm	𥷶
⺮臣口吅,ZiDzZiRu	𥷷
⺮耒人人人人日,ZiFuSiJe	𥷸
竹竹竹竹,ZiZiZiZi	𥷹
⺮言艹日大,ZiMeWhXi	𥷺
⺮⻗米辶,ZiTfMgLt	𥷻
⺮小尤足,ZiWnOtUz	𥷼
⺮尸龷八殳冂人人,ZiMzXkSi	𥷽
⺮罒厶⺼匕灬,ZiYtNdYv	𥷾
⺮巛田广廿灬,ZiJvSlYv	𥷿
⺮一王丶,ZiFhKtOe	𥸀
⺮廿口夫隹,ZiXkIqVh	𥸁
⺮吅厂彐月殳,ZiRuOyQi	𥸂
⺮臼土米殳,ZiWiBmQi	𥸃
⺮言旡旡日,ZiMeUeJe	𥸄
⺮自穴冂冂辶,ZiCjZiLt	𥸅
⺮月巛,ZiMdJvQk	𥸆
⺮吅厂口⺼殳,ZiRuOyQi	𥸇
⺮黑,ZiXyUc	𥸈
⺮立⺝{龍字边}木,ZiYqMdAj	𥸉
⺮豕頁,ZiYqKtWv	𥸊
⺮臼土殳米,ZiWiBmMg	𥸋
⺮隹隹又又,ZiVhVhWi	𥸌
⺮門吅田十,ZiAcRuGl	𥸍
⺮月丷夫馬,ZiMdVyGb	𥸎
⺮高月女几丶,ZiWnMdOe	𥸏
⺮⻗⻊各,ZiTfUzQy	𥸐
⺮吅隹囗八冂,ZiRuVhZv	𥸑
⺮日衣吅井一,ZiJeOrFh	𥸒
⺮扌耳耳耳,ZiPcQgQg	𥸓
⺮言十戈隹,ZiMeGlVh	𥸔
⺮田田田糸,ZiSlSlHt	𥸕
⺮⺊𱕻日口凵亅,ZiDhLwKs	𥸖
⺮氵一一鹿,ZiHgFhCu	𥸗
⺮氵目目隹又,ZiHgGyWi	𥸘
⺮⻊立⺝{龍字边},ZiUzYqIa	𥸙
⺮士罒貝見,ZiMfYtSc	𥸚
⺮齒足,ZiYbUz	𥸛
⺮音儿毌貝,ZiArAhIc	𥸜
⺮言夫夫貝,ZiMeSvIc	𥸝
⺮齒,ZiYbMzVy	𥸞
⺮齒宀疋,ZiYbErKf	𥸟
⺮骨曲豆,ZiFvRwEi	𥸠
⺮音十夂工貝,ZiArGlIc	𥸡
⺮旡旡日虫虫,ZiUeUeJw	𥸢
⺮黑⺈厂八言,ZiUcRlMe	𥸣
⺮龠頁,ZiSyWv	𥸤
𠃌米,PvMg	𥸥
⺄米,PvMg	𥸦
米丁,MgUe	𥸧
米,SiMg	𥸨
米又,MgWi	𥸩
米人,MgSi	𥸪
丿几米,CkPsMg	𥸫
米阝,MgTj	𥸬
米廾,MgWh	𥸭
土米,BmMg	𥸮
米一,MgFhKg	𥸯
米亍,MgJb	𥸰
米丿几,MgCkPs	𥸱
米弓,MgOd	𥸲
米支,MgBh	𥸳
米一丨㇗𠃌,MgFhKsPv	𥸴
米一,MgFhIa	𥸵
米一廾,MgFhWh	𥸶
米欠,MgFy	𥸷
米ㄅ大,MgPvXi	𥸸
米文,MgWm	𥸹
米,MgNb	𥸺
米⺆亠,MgZvUe	𥸻
米勹乂,MgSnOs	𥸼
米气,MgFq	𥸽
米卩,MgNgWj	𥸾
巴米,EwMg	𥸿
米心,MgNg	𥹀
米乍,MgEl	𥹁
米不一,MgCiFh	𥹂
米亻寸,MgKjLw	𥹃
⺊冖丿米,DhErCkMg	𥹄
米心丿,MgNgCk	𥹅
米尸,MgMzHs	𥹆
米厶廾,MgNdWh	𥹇
米宀匕,MgErHs	𥹈
米囗又,MgUdWi	𥹉
米四,MgYt	𥹊
米厶口,MgNdIq	𥹋
力口米,AuIqMg	𥹌
米宀丁,MgErUe	𥹍
米,MgId	𥹎
歹又米,QmWiMg	𥹏
丿米,QbCkMg	𥹐
米廿㇗,MgXkPv	𥹑
米干丷,MgLrVy	𥹒
米土厶,MgBmNd	𥹓
米𠂇又丶,MgGlWiOe	𥹔
米亼龴,MgTuNd	𥹕
米皮,MgEm	𥹖
米阝也,MgTjHe	𥹗
米一冂人,MgFhZvSi	𥹘
米刀口,MgKgIq	𥹙
米{凬字心}一,MgTeFh	𥹚
九攵米,DpRyMg	𥹛
米六乂,MgCaOs	𥹜
米丿冂口,MgCkZvIq	𥹝
米日㇂丿,MgJePvCk	𥹞
⺊冂又米,DhZvWiMg	𥹟
米夕夕,MgXuXu	𥹠
女口米,SmIqMg	𥹡
米耳,MgQg	𥹢
米册,MgJz	𥹣
米,MgJz	𥹤
米⺌彐,MgOtSi	𥹥
氵丸米,HgTkMg	𥹦
米聿,MgUa	𥹧
米弋工,MgNdNv	𥹨
米土寸,MgBmLw	𥹩
米夂㐄,MgJtGj	𥹪
米米,MgMg	𥹫
米耂一ㄅ,MgRiFhPv	𥹬
氵刀丶米,HgKgOeMg	𥹭
米夕㐄,MgXuGj	𥹮
米耒,MgFu	𥹯
米女㇏,MgSmRlOe	𥹰
米幺力,MgBlAu	𥹱
米丷口儿,MgVyIqAh	𥹲
米宀二儿,MgErRlAh	𥹳
米止,MgLdLd	𥹴
米束,MgUh	𥹵
米⺌⺼,MgOtMd	𥹶
米,MgPdJv	𥹷
米十冖子,MgGlErYd	𥹸
尸毛米,MzOuMg	𥹹
广肀米,GpUaMg	𥹺
米廾,MgPdWh	𥹻
米厶疋,MgNdKf	𥹼
米爫寸,MgToLw	𥹽
米夂丰,MgJtZh	𥹾
米火土,MgYvBm	𥹿
米丷𢎨,MgVyUv	𥺀
米广土丶,MgGpBmOe	𥺁
米冂八口,MgZvVyIq	𥺂
米士心,MgMfNg	𥺃
米耂子,MgRiYd	𥺄
米寸,MgZhLw	𥺅
米口丿土,MgIqCkBm	𥺆
米米乛,MgMgPv	𥺇
米扌斤,MgPcOz	𥺈
米豆,MgEi	𥺉
米⺧口,MgLzIq	𥺊
屮凵入米,IaZvXjMg	𥺋
米人禾,MgSiZp	𥺌
米冖八干,MgErVyLr	𥺍
米且八,MgRhVy	𥺎
米口欠,MgIqFy	𥺏
米口斤,MgIqOz	𥺐
米彐冖又,MgSiErWi	𥺑
米由一ㄅ,MgIsFhPv	𥺒
米口丿口,MgIqCkIq	𥺓
口欠米,IqFyMg	𥺔
米扌巴,MgPcEw	𥺕
米不口,MgCiIq	𥺖
米覀,MgQp	𥺗
米,MgDm	𥺘
米土儿夂,MgBmAhJt	𥺙
米木斤,MgAjOz	𥺚
米田丿十,MgSlCkGl	𥺛
氵尸米,HgMzHsMg	𥺜
米⺆土口,MgZvBmIq	𥺝
米⺝,MgPdMd	𥺞
非米,DmMg	𥺟
口艹冖米,IqWhErMg	𥺠
米阝𠂉也,MgTjLdHe	𥺡
米夂田,MgJtSl	𥺢
米ヿ土ヿ土,MgPvBmBm	𥺣
⺊一小又米,DhFhOtMg	𥺤
米宀且,MgErRh	𥺥
米广⺊口,MgGpDhIq	𥺦
米广人,MgGpSiSi	𥺧
米广古,MgGpQm	𥺨
米䒑幺卜,MgVyBlDh	𥺩
米文月,MgWmMd	𥺪
米匚米,MgEhMg	𥺫
米子皿,MgYdBk	𥺬
米大丷二ㄅ,MgXiVyPv	𥺭
米龷日,MgXkJe	𥺮
米⺿八刀,MgWhVyKg	𥺯
