⺀	(丶丶,OeOe,bīng_èr,部首補充)
𥅘	(目⺈小,GyRlOt,zhěn_mí,CJK-B)
𥅙	(目一冂人,GyFhZvSi,,CJK-B)
𥅚	(目大二ㄅ,GyXiRlPv,,CJK-B)
𥅛	(目戊一,GyUcFh,,CJK-B)
𥅜	(目戊一,GyUcFh,,CJK-B)
𥅝	(干目,LrLrGy,,CJK-B)
𥅞	(目弋工,GyNdNv,shì,CJK-B)
𥅟	(目六乂,GyCaOs,jiǎo,CJK-B)
𥅠	(目⺁一口,GyOyFhIq,hòu,CJK-B)
𥅡	(目而,GyUa,ér,CJK-B)
𥅢	(目㐅凵又,GyOsZvWi,,CJK-B)
𥅣	(目尸工,GyMzNv,,CJK-B)
𥅤	(十戈囗コ,GlIeUdEh,,CJK-B)
𥅥	(目宀女,GyErSm,,CJK-B)
𥅦	(目耒,GyFu,lèi,CJK-B)
𥅧	(目丿皿,GyCkBk,xuè,CJK-B)
𥅨	(目{凬字心}一,GyTeFh,gèng,CJK-B)
𥅩	(目亻戈,GyKjIe,,CJK-B)
𥅪	(目丩攵,GyHtRy,shōu,CJK-B)
𥅫	(罒刀刀刀,YtKgKgKg,,CJK-B)
𥅬	(目勹云,GySnPd,juān,CJK-B)
𥅭	(目亠日,GyUeJe,,CJK-B)
𥅮	(歹刂目,QmKgGy,,CJK-B)
𥅯	(目戈𠂇,GyIeGl,,CJK-B)
𥅰	(十戈目,GlIeGy,,CJK-B)
𥅱	(丨厂目,IaKsOyGy,,CJK-B)
𥅲	(目丿未,GyCkJx,,CJK-B)
𥅳	(目干,GyLrLr,,CJK-B)
𥅴	(目夫丷,GySvVy,jié,CJK-B)
𥅵	(止人目,LdSiGy,wéi,CJK-B)
𥅶	(⺊目井,DhGyBz,,CJK-B)
𥅷	(小丿亠目,OtCkUeGy,shǒu,CJK-B)
𥅸	(目千止,GyHcLd,jìng,CJK-B)
𥅹	(目夂巾,GyJtUw,,CJK-B)
𥅺	(目⺈巴,GyRlEw,xú,CJK-B)
𥅻	(目儿,GyPdAh,chòng,CJK-B)
𥅼	(目米,GyMg,,CJK-B)
𥅽	(亼口目,TuIqGy,,CJK-B)
𥅾	(目广土,GyGpBm,,CJK-B)
𥅿	(目扌丸,GyPcTk,,CJK-B)
𥆀	(目氵工,GyHgNv,,CJK-B)
𥆁	(目歹刂,GyQmKg,,CJK-B)
𥆂	(目亻丿士,GyKjCkMf,,CJK-B)
𥆃	(目女口,GySmIq,,CJK-B)
𥆄	(目光,GySj,,CJK-B)
𥆅	(士口目,MfIqGy,jiāng,CJK-B)
𥆆	(目{云变},GyPdJv,mòu,CJK-B)
𥆇	(龷八目,XkVyGy,,CJK-B)
𥆈	(目龷匕,GyXkHs,,CJK-B)
𥆉	(目亻又,GyKjKgWi,yù,CJK-B)
𥆊	(目止廴,GyLdVv,,CJK-B)
𥆋	(目豕,GyKt,,CJK-B)
𥆌	(目⺈用,GyRlQl,jué,CJK-B)
𥆍	(目耳㇗,GyQgPv,,CJK-B)
𥆎	(目糹乚,GyHtPv,,CJK-B)
𥆏	(目戊𠃌,GyUcPv,,CJK-B)
𥆐	(目五口,GyJiIq,,CJK-B)
𥆑	(目丿士廴,GyCkMfVv,tìng,CJK-B)
𥆒	(目白儿,GyDyAh,,CJK-B)
𥆓	(目亻日丨,GyKjJeKs,,CJK-B)
𥆔	(目耂子,GyRiYd,xiāo,CJK-B)
𥆕	(目,WnGy,,CJK-B)
𥆖	(目豆,GyEi,dōu,CJK-B)
𥆗	(大目攴,XiGyRy,,CJK-B)
𥆘	(目貝,GyIc,guó,CJK-B)
𥆙	(目龙,GyJhBl,máng,CJK-B)
𥆚	(目氵王,GyHgGi,wāng,CJK-B)
𥆛	(彳殳目,JbQiGy,xù,CJK-B)
𥆜	(目彳丶王,GyJbOeGi,wàng,CJK-B)
𥆝	(氵小丿目,HgOtCkGy,suō,CJK-B)
𥆞	(罒丨厂罒,YtKsOyYt,juàn,CJK-B)
𥆟	(目八口儿,GyVyIqAh,yuè,CJK-B)
𥆠	(目氏口,GyQuIq,,CJK-B)
𥆡	(目亼乛口,GyTuPvIq,hán,CJK-B)
𥆢	(目目匕,GyGyHs,,CJK-B)
𥆣	(目目又,GyGyWi,shēn,CJK-B)
𥆤	(里目,DnGy,,CJK-B)
𥆥	(目走,GyQo,xié,CJK-B)
𥆦	(目一儿王,GyFhAhGi,liú,CJK-B)
𥆧	(目门王,GyBoGi,rún,CJK-B)
𥆨	(目,GyPdJv,,CJK-B)
𥆩	(目丨日儿,GyKsJeAh,,CJK-B)
𥆪	(目木口,GyAjIq,,CJK-B)
𥆫	(目口木,GyIqAj,,CJK-B)
𥆬	(目爫子,GyToYd,,CJK-B)
𥆭	(目扌夫,GyPcSv,,CJK-B)
𥆮	(目土⺊一乚,GyBmDhPv,,CJK-B)
𥆯	(目匕土,GyHsHsBm,bì,CJK-B)
𥆰	(目口一,GyIqFhJv,,CJK-B)
𥆱	(目山亽ヿ,GyDsTuPv,,CJK-B)
𥆲	(目勹山,GySnBlDs,nào,CJK-B)
𥆳	(丶廾目,OeWhJvGy,,CJK-B)
𥆴	(丶大寸目,OeXiLwGy,,CJK-B)
𥆵	(目火廾,GyYvWh,,CJK-B)
𥆶	(目丶乂手,GyOeOsPc,wàn,CJK-B)
𥆷	(目彐冖又,GySiErWi,jiù,CJK-B)
𥆸	(目女人,GySmEhSi,quē,CJK-B)
𥆹	(目山及,GyDsKd,,CJK-B)
𥆺	(目酉,GyTi,,CJK-B)
𥆻	(目口丿口,GyIqCkIq,,CJK-B)
𥆼	(目里,GyDn,,CJK-B)
𥆽	(目口亽ヿ,GyIqTuPv,,CJK-B)
𥆾	(目刀丶心,GyKgOeNg,,CJK-B)
𥆿	(目一氺丶,GyFhHgOe,,CJK-B)
𥇀	(目艹亡,GyWhXc,,CJK-B)
𥇁	(目亻丶王,GyKjOeGi,,CJK-B)
𥇂	(目口力刂,GyIqAuKg,,CJK-B)
𥇃	(目犭火,GyLeYv,,CJK-B)
𥇄	(目又目,GyWiGy,nì,CJK-B)
𥇅	(儿目,ZhAhGy,,CJK-B)
𥇆	(目米乛,GyMgPv,mí,CJK-B)
𥇇	(目氵小丿,GyHgOtCk,suō,CJK-B)
𥇈	(目囗一,GyUdFhIa,,CJK-B)
𥇉	(目⺷儿,GyIdAh,qiǎng,CJK-B)
𥇊	(目日匕,GyJeHsHs,,CJK-B)
𥇋	(目亡目,GyXcGy,,CJK-B)
𥇌	(目⺈臼,GyRlWi,hàn_qià,CJK-B)
𥇍	(目⺊日十,GyDhJeGl,zhuó,CJK-B)
𥇎	(目弓⺈小,GyOdRlOt,mí,CJK-B)
𥇏	(目日火,GyJeYv,xù,CJK-B)
𥇐	(目斤辶,GyOzLt,,CJK-B)
𥇑	(目一巾入入,GyFhUwXj,lǎng,CJK-B)
𥇒	(目立女,GyYqSm,jié,CJK-B)
𥇓	(目宀疋,GyErKf,dìng,CJK-B)
𥇔	(目長,GySi,chàng_zhāng,CJK-B)
𥇕	(目牛巾刂,GyLzUwKg,zhì,CJK-B)
𥇖	(目,DmGy,fēi,CJK-B)
𥇗	(目尸由,GyMzIs,jiá,CJK-B)
𥇘	(目囗禾,GyUdZp,jùn,CJK-B)
𥇙	(戈口一目,IeIqFhGy,huò,CJK-B)
𥇚	(目大可,GyXiZj,qī,CJK-B)
𥇛	(大目目,XiGyGy,jū_jù_xì,CJK-B)
𥇜	(目子,GyWnYd,zhūn_guō,CJK-B)
𥇝	(目大,GyXiId,,CJK-B)
𥇞	(目⺊口土,GyDhIqBm,diàn,CJK-B)
𥇟	(目六乂力,GyCaOsAu,jiǎo,CJK-B)
𥇠	(夂目目,JtGyGy,yā,CJK-B)
𥇡	(罒大,YtXiId,,CJK-B)
𥇢	(目斤,GyYfOz,zhǎn,CJK-B)
𥇣	(目尸屮凵,GyMzIaZv,,CJK-B)
𥇤	(目尸凵,GyMzPcZv,,CJK-B)
𥇥	(目亼口人,GyTuIqSi,,CJK-B)
𥇦	(目木斤,GyAjOz,,CJK-B)
𥇧	(目大示,GyXiDd,,CJK-B)
𥇨	(火目,QbYvGy,,CJK-B)
𥇩	(目臼一ㄅ,GyWiFhPv,,CJK-B)
𥇪	(目,GyDm,,CJK-B)
𥇫	(目水,GyYvHg,,CJK-B)
𥇬	(目田木,GySlAj,,CJK-B)
𥇭	(目矢口,GyEuIq,zhī,CJK-B)
𥇮	(人人刂厂目,SiSiKgGy,,CJK-B)
𥇯	(目勹勹,GySnBlBl,mài,CJK-B)
𥇰	(目勹心,GySnBlNg,hū,CJK-B)
𥇱	(目木,GyPdAj,xiè,CJK-B)
𥇲	(氵皮目,HgEmGy,shí,CJK-B)
𥇳	(目彐冖巾,GySiErUw,guī,CJK-B)
𥇴	(目爿斤,GyNbOz,,CJK-B)
𥇵	(目尸土凵,GyMzBmZv,,CJK-B)
𥇶	(目金,GyTk,,CJK-B)
𥇷	(目山石,GyDsQq,,CJK-B)
𥇸	(目一山,GyOzFhDs,,CJK-B)
𥇹	(目日一寸,GyJeFhLw,,CJK-B)
𥇺	(目爿犬,GyNbLe,,CJK-B)
𥇻	(目宀由,GyErIs,,CJK-B)
𥇼	(目石廾,GyQqWh,,CJK-B)
𥇽	(爫子乚目,ToYdPvGy,,CJK-B)
𥇾	(目毛毛,GyOuOu,,CJK-B)
𥇿	(目戈口一,GyIeIqFh,xù,CJK-B)
𥈀	(目目大,GyGyXi,,CJK-B)
𥈁	(目卩辶,GyNgWjLt,,CJK-B)
𥈂	(目一ㄅ口又一,GyFhPvFh,jí,CJK-B)
𥈃	(目穴人又,GyZiSiWi,,CJK-B)
𥈄	(龷八巳目,XkVyDuGy,chuàng,CJK-B)
𥈅	(目面,GyHf,,CJK-B)
𥈆	(目⺜目,GyJeGy,mào,CJK-B)
𥈇	(目而大,GyUaXi,ruán,CJK-B)
𥈈	(目句灬,GyTqYv,xū,CJK-B)
𥈉	(目⺈冂八大,GyRlZvXi,huàn,CJK-B)
𥈊	(目千臼,GyHcWi,shà,CJK-B)
𥈋	(目丿口⽱,GyCkIqFj,jǔ,CJK-B)
𥈌	(目亻丨夂彡,GyKjKsBl,,CJK-B)
𥈍	(目目⺁又,GyGyOyWi,,CJK-B)
𥈎	(目日勹亾,GyJeSnXc,,CJK-B)
𥈏	(目目丿大,GyGyCkXi,kuàng,CJK-B)
𥈐	(目止匕木,GyLdHsAj,,CJK-B)
𥈑	(目⺈厂矢,GyRlOyEu,hóu,CJK-B)
𥈒	(目幺幺廾,GyBlBlWh,guān,CJK-B)
𥈓	(目冎口,GyFvIq,guā,CJK-B)
𥈔	(目匚日女,GyEhJeSm,,CJK-B)
𥈕	(目八一ㄅ皿,GyVyFhBk,mí,CJK-B)
𥈖	(目大羊,GyXiId,dié,CJK-B)
𥈗	(目頁,GyWv,bì,CJK-B)
𥈘	(目亠日小,GyUeJeOt,liǎng,CJK-B)
𥈙	(目束刂,GyUhKg,là,CJK-B)
𥈚	(目广人辶,GyGpSiLt,shǎn,CJK-B)
𥈛	(目六目,GyCaGy,lù,CJK-B)
𥈜	(十目目大,GlGyGyXi,xì,CJK-B)
𥈝	(目勹丶心,GySnBlNg,,CJK-B)
𥈞	(目艹一冂山,GyWhFhDs,,CJK-B)
𥈟	(目宀火又,GyErYvWi,sǒu,CJK-B)
𥈠	(虍目,QbPuGy,,CJK-B)
𥈡	(目木示,GyAjDd,,CJK-B)
𥈢	(目⺷大,GyIdXi,,CJK-B)
𥈣	(目龷日,GyXkJe,,CJK-B)
𥈤	(目⺊龰,GyDhSiLd,,CJK-B)
𥈥	(目忄艮,GyNgTp,,CJK-B)
𥈦	(目爫冂土,GyToZvBm,,CJK-B)
𥈧	(目龵目,GyPcGy,,CJK-B)
𥈨	(目一殳,GyPcFhQi,,CJK-B)
𥈩	(目龷八巳,GyXkVyDu,,CJK-B)
𥈪	(目目一廾,GyGyFhWh,,CJK-B)
𥈫	(目目𠂇又,GyGyGlWi,,CJK-B)
𥈬	(目田⽱,GySlFj,ōu,CJK-B)
𥈭	(目吅二ㄅ,GyRuRlPv,,CJK-B)
𥈮	(目罒方,GyYtMx,léng,CJK-B)
𥈯	(目且皮,GyRhEm,,CJK-B)
𥈰	(目氵龷八,GyHgXkVy,,CJK-B)
𥈱	(目乃又皿,GyViWiBk,,CJK-B)
𥈲	(目⺈彐心,GyRlSiNg,,CJK-B)
𥈳	(目穴犬,GyZiLe,,CJK-B)
𥈴	(目虍,GyQbSi,,CJK-B)
𥈵	(目束丷,GyUhVy,,CJK-B)
𥈶	(目十冂,GyGlZvId,,CJK-B)
𥈷	(十冖示目,GlErDdGy,kū,CJK-B)
𥈸	(木目目,AjGyGy,guī,CJK-B)
𥈹	(目穴牙,GyZiYb,,CJK-B)
𥈺	(目爫丨日,GyToKsJe,,CJK-B)
𥈻	(目龷八土,GyXkVyBm,xī,CJK-B)
𥈼	(舟殳目,LkQiGy,pán_pān,CJK-B)
𥈽	(宀井目,ErBzVyGy,sè,CJK-B)
𥈾	(目穴目,GyZiGy,juè,CJK-B)
𥈿	(目工貝,GyNvIc,hòng,CJK-B)
𥉀	(目罒,GyYtHg,guàn,CJK-B)
𥉁	(目目大,GyGyXiKg,jù,CJK-B)
𥉂	(目⺿亡,GyWhXcJv,,CJK-B)
𥉃	(厶⺼匕目,NdMdHsGy,nài,CJK-B)
𥉄	(目,GyFv,huá,CJK-B)
𥉅	(目鬲,GyPw,gé,CJK-B)
𥉆	(⺊一示又目,DhFhDdGy,lì,CJK-B)
𥉇	(目井王冂,GyBzGiZv,gòu,CJK-B)
𥉈	(目亻丨夂⺝,GyKjKsMd,tì,CJK-B)
𥉉	(目亻丨夂木,GyKjKsAj,,CJK-B)
𥉊	(目馬,GyGb,mà,CJK-B)
𥉋	(目丷夫氺,GyVySvHg,téng,CJK-B)
𥉌	(目⺿亼口,GyWhTuIq,dá,CJK-B)
𥉍	(目屮一虫,GyIaFhJw,,CJK-B)
𥉎	(目彳見,GyJbSc,,CJK-B)
𥉏	(十日十人目,GlJeGlGy,,CJK-B)
𥉐	(目爫幺大,GyToBlXi,qī,CJK-B)
𥉑	(目冖隹,GyErVh,yù_hè,CJK-B)
𥉒	(目自木,GyCjAj,jiǎo,CJK-B)
𥉓	(目心丿皿,GyNgCkBk,miè,CJK-B)
𥉔	(耳火目,QgYvGy,gěng,CJK-B)
𥉕	(目冖一豕,GyErFhKt,mèng_méng,CJK-B)
𥉖	(目土土心,GyBmBmNg,wèi,CJK-B)
𥉗	(目羽毛,GyEhOu,,CJK-B)
𥉘	(目⺁虎,GyOyQb,tí,CJK-B)
𥉙	(目老日,GyRiJe,qí,CJK-B)
𥉚	(目亻人人人人,GyKjSiSi,,CJK-B)
𥉛	(目宀日女,GyErJeSm,,CJK-B)
𥉜	(目㇏禾,GyZhOeZp,chén,CJK-B)
𥉝	(目,GyWu,dōu,CJK-B)
𥉞	(目罒目,GyYtGy,,CJK-B)
𥉟	(目舟殳,GyLkQi,pán,CJK-B)
𥉠	(予丿夂力目,MaCkJtGy,,CJK-B)
𥉡	(目穴入夕,GyZiXjXu,,CJK-B)
𥉢	(目一土,GyFhWuBm,,CJK-B)
𥉣	(目冖方,GyYqErMx,,CJK-B)
𥉤	(目火艮,GyYvTp,,CJK-B)
𥉥	(目䒑辶,GyVyIaLt,,CJK-B)
𥉦	(目民目,GyNsGy,,CJK-B)
𥉧	(目弓冫弓冫,GyOdLvLv,,CJK-B)
𥉨	(目彡見,GyBlSc,,CJK-B)
𥉩	(竜目,JhGy,,CJK-B)
𥉪	(目氵𠂉母,GyHgLdQt,,CJK-B)
𥉫	(目竜,GyJh,,CJK-B)
𥉬	(目歹刂灬,GyQmKgYv,,CJK-B)
𥉭	(目扌斤口,GyPcOzIq,,CJK-B)
𥉮	(目䒑月,GyVyIaMd,,CJK-B)
𥉯	(目木土土,GyAjBmBm,,CJK-B)
𥉰	(目爫臼,GyToWi,hàn_qià,CJK-B)
𥉱	(目大臼乚,GyXiWiPv,,CJK-B)
𥉲	(目尸龷,GyMzXkOr,,CJK-B)
𥉳	(目卯田,GyFmSl,,CJK-B)
𥉴	(目宀心丿山,GyErNgDs,mì,CJK-B)
𥉵	(麻目,OnGy,má,CJK-B)
𥉶	(目,GyCu,lù,CJK-B)
𥉷	(目戊⺊一小,GyUcDhOt,qī,CJK-B)
𥉸	(目臣又土,GyDzWiBm,kēng,CJK-B)
𥉹	(目田糸,GySlHt,,CJK-B)
𥉺	(目穴至,GyZiCy,dié,CJK-B)
𥉻	(目示,GyVyDd,qì,CJK-B)
𥉼	(目木,GyTlAj,jiāo,CJK-B)
𥉽	(目广氺,GyGpSiHg,kāng,CJK-B)
𥉾	(目羽人彡,GyEhSiBl,qiāo,CJK-B)
𥉿	(目不見,GyCiSc,mì,CJK-B)
𥊀	(目厶厶厶人彡,GyNdNdBl,shān_sǎn,CJK-B)
𥊁	(目宀耳又,GyErQgWi,,CJK-B)
𥊂	(目彳止龰,GyJbLdLd,,CJK-B)
𥊃	(人人罒冖目,SiSiYtGy,,CJK-B)
𥊄	(卝罒勹目,WhYtSnGy,,CJK-B)
𥊅	(目山厂土土,GyDsOyBm,,CJK-B)
𥊆	(目广一龰,GyGpFhLd,,CJK-B)
𥊇	(臣𠂉一一目,DzLdFhGy,jiān,CJK-B)
𥊈	(目禾刂木,GyZpKgAj,lí,CJK-B)
𥊉	(目穴亼口,GyZiTuIq,kè,CJK-B)
𥊊	(目十艹人人十,GyGlWhGl,xù,CJK-B)
𥊋	(目爫見,GyToSc,,CJK-B)
𥊌	(目巛田木,GyJvSlAj,,CJK-B)
𥊍	(土丸目,BmIdTkGy,,CJK-B)
𥊎	(目㇏臼,GyZhOeWi,,CJK-B)
𥊏	(目老目,GyRiGy,,CJK-B)
𥊐	(目目宀子,GyGyErYd,,CJK-B)
𥊑	(目日罒又,GyJeYtWi,mán_màn,CJK-B)
𥊒	(目夂丰辶,GyJtZhLt,fèng,CJK-B)
𥊓	(目厂生,GyYqOyDh,chàn,CJK-B)
𥊔	(目冂八口,GyYqZvIq,huǐ,CJK-B)
𥊕	(目亻丨攴⺼,GyKjKsMd,,CJK-B)
𥊖	(目土隹,GyBmVh,,CJK-B)
𥊗	(目氵火火,GyHgYvYv,,CJK-B)
𥊘	(目宀大可,GyErXiZj,,CJK-B)
𥊙	(目丿龱八夂,GyCkLwJt,,CJK-B)
𥊚	(目麻,GyOn,,CJK-B)
𥊛	(目亡月王,GyXcMdGi,,CJK-B)
𥊜	(目言人,GyMeEhSi,,CJK-B)
𥊝	(目土丸,GyBmIdTk,,CJK-B)
𥊞	(目囗戈口一,GyUdIeFh,,CJK-B)
𥊟	(目刀丶心,MzGyKgNg,,CJK-B)
𥊠	(目山宀示,GyDsErDd,,CJK-B)
𥊡	(目車欠,GyJlFy,,CJK-B)
𥊢	(十目一尚,GlGyFhXy,,CJK-B)
𥊣	(尚十目一,XyGlGyFh,,CJK-B)
𥊤	(目彳日一寸,GyJbJeLw,,CJK-B)
𥊥	(目阝⺈臼,GyTjRlWi,,CJK-B)
𥊦	(目予丿夂力,GyMaCkAu,,CJK-B)
𥊧	(士殳目,MfMzQiGy,kòu,CJK-B)
𥊨	(木示又目,AjDdWiGy,,CJK-B)
𥊩	(目車辶,GyJlLt,,CJK-B)
𥊪	(目爫丿ヿヿヿ灬,GyToCkYv,wěi,CJK-B)
𥊫	(目毌貝,GySfIc,guàn,CJK-B)
𥊬	(目口耳,GyIqQgIe,jí,CJK-B)
𥊭	(目丷酉寸,GyVyTiLw,zùn,CJK-B)
𥊮	(目田一,GyUaSlFh,huò,CJK-B)
𥊯	(目丰刀糸,GyZhKgHt,xié,CJK-B)
𥊰	(目龸足,GyXyUz,,CJK-B)
𥊱	(目戊𠃌皿,GyUcPvBk,,CJK-B)
𥊲	(目木,GyXyAj,,CJK-B)
𥊳	(目羊䒑口,GyIdVyIq,,CJK-B)
𥊴	(目日耳又,GyJeQgWi,suì,CJK-B)
𥊵	(目氺辶,GySiHgLt,,CJK-B)
𥊶	(目犬灬,GyMdLeYv,ruǎn,CJK-B)
𥊷	(黑犬目,UcLeGy,,CJK-B)
𥊸	(目十罒一心,GyGlYtNg,tè,CJK-B)
𥊹	(广亻隹目,GpKjVhGy,,CJK-B)
𥊺	(目門木,GyAcAj,,CJK-B)
𥊻	(目厶厶厶糸,GyNdNdHt,,CJK-B)
𥊼	(目牙,GyXyYb,zhèng,CJK-B)
𥊽	(罒丷𢎨,YtHgVyUv,kūn,CJK-B)
𥊾	(工目頁,NvGyWv,xiǎng,CJK-B)
𥊿	(目目罒又,GyGyYtWi,mián,CJK-B)
𥋀	(目丨厂彐又,GySiKsWi,,CJK-B)
𥋁	(目目冖日疒耳戈,GyGyErIe,xì,CJK-B)
𥋂	(目⺈罒八夂,GyRlYtJt,,CJK-B)
𥋃	(目而而,GyUaUa,,CJK-B)
𥋄	(目覀二火,GyQpRlYv,,CJK-B)
𥋅	(虫虫目,JwJwGy,,CJK-B)
𥋆	(目子攵,GyWnYdRy,,CJK-B)
𥋇	(目手,GyXyPc,,CJK-B)
𥋈	(土土土一儿目,BmBmBmGy,,CJK-B)
𥋉	(目羽耳,GyEhQg,,CJK-B)
𥋊	(目丿大口冂口,GyCkXiIq,,CJK-B)
𥋋	(目夫夫日,GySvSvJe,,CJK-B)
𥋌	(目龷⺝攵,GyXkMdRy,sā,CJK-B)
𥋍	(目丿人人人人土,GyCkSiBm,,CJK-B)
𥋎	(目人人丨厂目,GySiSiGy,,CJK-B)
𥋏	(目音,GyArIe,,CJK-B)
𥋐	(目氵小丿目,GyHgOtGy,,CJK-B)
𥋑	(目刀口辛,GyKgIqJt,,CJK-B)
𥋒	(目矢口日,GyEuIqJe,,CJK-B)
𥋓	(目日小,GyJeWnOt,,CJK-B)
𥋔	(目山一王攵,GyDsFhRy,,CJK-B)
𥋕	(目氵欠皿,GyHgFyBk,,CJK-B)
𥋖	(目虍业,GyQbOq,,CJK-B)
𥋗	(目㡀攵,GyKtRy,,CJK-B)
𥋘	(目⺮⺌⺝,GyZiOtMd,,CJK-B)
𥋙	(目业䒑未,GyOqVyJx,è,CJK-B)
𥋚	(卝罒戈目,WhYtIeGy,miè,CJK-B)
𥋛	(目罒勹虫,GyYtSnJw,zhǔ,CJK-B)
𥋜	(目穴丿之,MzGyZiDo,zōu,CJK-B)
𥋝	(目黾,GyAy,měng,CJK-B)
𥋞	(目⻗亽龴,GyTfTuNd,,CJK-B)
𥋟	(目⺷丿扌,GyIdCkIe,xī,CJK-B)
𥋠	(目覀示刂,GyQpDdKg,,CJK-B)
𥋡	(目目冖弓弓,GyGyErOd,táng,CJK-B)
𥋢	(目大目目,GyXiGyGy,,CJK-B)
𥋣	(目覀貝,GyQpIc,jià,CJK-B)
𥋤	(甘目,XyMzGy,cháng,CJK-B)
𥋥	(目目兔,GyGyZh,jí,CJK-B)
𥋦	(目厶厶匕,GyCuNdHs,,CJK-B)
𥋧	(目⺈彐攵灬,GyRlSiYv,,CJK-B)
𥋨	(目鹿匕,GyCuHs,,CJK-B)
𥋩	(宀一谷又目,ErFhPuGy,,CJK-B)
𥋪	({微框}几目,YaPsGy,,CJK-B)
𥋫	(目目宀疋,GyGyErKf,,CJK-B)
𥋬	(目目冖八冂冂,GyGyErZv,,CJK-B)
𥋭	(目罒大,GyYtXiId,,CJK-B)
𥋮	(目言,GyVyMe,zhuó,CJK-B)
𥋯	(目言,GyVyMe,,CJK-B)
𥋰	(目宀一人,GyErFhSi,,CJK-B)
𥋱	(目宀心丿皿,GyErNgBk,,CJK-B)
𥋲	(目广䒑,GyGpVyYv,,CJK-B)
𥋳	(目山鬼,GyDsBy,,CJK-B)
𥋴	(目木木示,GyAjAjDd,,CJK-B)
𥋵	(目音欠,GyArFy,,CJK-B)
𥋶	(目亠囗口禾,GyUeUdZp,,CJK-B)
𥋷	(目艹氵各,GyWhHgQy,,CJK-B)
𥋸	(目⻗田,GyTfSl,,CJK-B)
𥋹	(日一寸目民,JeFhLwNs,,CJK-B)
𥋺	(目宀爫臼,GyErToWi,,CJK-B)
𥋻	(目冂乂乂貝,GyZvOsIc,,CJK-B)
𥋼	(目人亠㐅凵禸,GySiUeFj,,CJK-B)
𥋽	(目罒⺊日十,GyYtDhGl,,CJK-B)
𥋾	(目艹千里,GyWhHcDn,,CJK-B)
𥋿	(目土土,GyBmYvYv,hè,CJK-B)
𥌀	(目宀示,GyErVyDd,chá,CJK-B)
𥌁	(目日幺幺灬,GyJeBlYv,qì,CJK-B)
𥌂	(目目穴方,GyGyZiMx,mián,CJK-B)
𥌃	(目一,GyFhKt,zhěn,CJK-B)
𥌄	(貝又目,QmIcWiGy,kū,CJK-B)
𥌅	(厂日⺼犬目,OyJeMdGy,yè,CJK-B)
𥌆	(目士乛工一口寸,GyMfPvLw,zhōu,CJK-B)
𥌇	(目𠂉卌一夕㐄,GyLdDsGj,,CJK-B)
𥌈	(目臣𠂉一皿,GyDzLdBk,jiān,CJK-B)
𥌉	(目龠,GySy,,CJK-B)
𥌊	(目辛,JtGyJt,pàn,CJK-B)
𥌋	(目卝罒冖夕,GyWhYtXu,,CJK-B)
𥌌	(目火火夕㐄,GyYvYvGj,,CJK-B)
𥌍	(目六隹又,GyCaVhWi,huī,CJK-B)
𥌎	(目而,GyTfUa,,CJK-B)
𥌏	(目冖日六,MzGyErCa,míng,CJK-B)
𥌐	(目卯田心,GyFmSlNg,liù,CJK-B)
𥌑	(目目,GyQmPuGy,,CJK-B)
𥌒	(壴皮目,HsEmGy,,CJK-B)
𥌓	(目罒耂日,GyYtRiJe,,CJK-B)
𥌔	(目⺈罒貝,GyRlYtIc,,CJK-B)
𥌕	(革皮目,GoEmGy,,CJK-B)
𥌖	(目目日一勹,GyGyJeBl,,CJK-B)
𥌗	(目自冖八冂冂,GyCjErZv,,CJK-B)
𥌘	(目丷豕目,GyVyKtGy,shuì,CJK-B)
𥌙	(目广車,MzGyGpJl,,CJK-B)
𥌚	(目士罒貝,GyMfYtIc,mài_yá_shù,CJK-B)
𥌛	(目禾人氺,GyZpKgHg,lí,CJK-B)
𥌜	(目灬,GyCuYv,,CJK-B)
𥌝	(目幺一火,GyWiBlYv,,CJK-B)
𥌞	(目木乂乂木大,GyAjOsXi,shuò,CJK-B)
𥌟	(⺊一矢人禾目,DhFhEuGy,yí,CJK-B)
𥌠	(目虍田心,GyQbSlNg,,CJK-B)
𥌡	(目罒土口𧘇,GyYtBmOr,,CJK-B)
𥌢	(目宀大丷日小,GyErXiOt,,CJK-B)
𥌣	(目白巾丿糸,GyDyUwHt,,CJK-B)
𥌤	(目示氺,GyHsDdHg,lì,CJK-B)
𥌥	(目言田木,GyMeSlAj,,CJK-B)
𥌦	(目夫夫車,GySvSvJl,,CJK-B)
𥌧	(目魚日,GyXlJe,,CJK-B)
𥌨	(目米頁,GyMgWv,xiē_miè,CJK-B)
𥌩	(目彳十罒一心,GyJbGlNg,tè,CJK-B)
𥌪	(目十目目大,GyGlGyXi,xiū,CJK-B)
𥌫	(目⺮彑,GyZiSiKt,,CJK-B)
𥌬	(目广里八土,GyGpDnBm,,CJK-B)
𥌭	(目目㇗小丿糸,GyGyPvHt,xuàn,CJK-B)
𥌮	(目厂禾禾止,GyOyZpLd,lì,CJK-B)
𥌯	(目卝罒冖瓦,GyWhYtFn,méng,CJK-B)
𥌰	(目虫貝辶,GyJwIcLt,wéi,CJK-B)
𥌱	(卝罒冖目民,WhYtErNs,méng,CJK-B)
𥌲	(目日⺸,GyWnJeId,,CJK-B)
𥌳	(目⺧儿⺧儿日,GyLzAhJe,,CJK-B)
𥌴	(目火火冖虫,GyYvYvJw,,CJK-B)
