⺀	[丶丶,bīng_èr,部首補充]
𦗃	[耳心丿皿,,CJK-B]
𦗄	[耳䒑辶,,CJK-B]
𦗅	[耳⺷儿厶,,CJK-B]
𦗆	[耳大丷日乚,,CJK-B]
𦗇	[耳韋,,CJK-B]
𦗈	[耳山一儿攵,,CJK-B]
𦗉	[耳⺿艹,,CJK-B]
𦗊	[矢丶王耳,,CJK-B]
𦗋	[耳宀谷,róng,CJK-B]
𦗌	[耳爫臼,,CJK-B]
𦗍	[耳冖方,ài,CJK-B]
𦗎	[耳夕⺋田,,CJK-B]
𦗏	[耳丶阝,,CJK-B]
𦗐	[耳豕,ài,CJK-B]
𦗑	[耳冂古,zhé,CJK-B]
𦗒	[耳子阝,guō,CJK-B]
𦗓	[耳鹿,lù,CJK-B]
𦗔	[耳巛田木,zhāo,CJK-B]
𦗕	[麻耳,mí,CJK-B]
𦗖	[耳羽人彡,liáo,CJK-B]
𦗗	[耳羽白,zhé,CJK-B]
𦗘	[耳又⺿冂大,,CJK-B]
𦗙	[土八土丸耳,,CJK-B]
𦗚	[車斤耳,,CJK-B]
𦗛	[耳匚口吅,qǔ,CJK-B]
𦗜	[耳彳人人龰,cōng,CJK-B]
𦗝	[耳車斤,,CJK-B]
𦗞	[耳宀大可,,CJK-B]
𦗟	[耳十罒一心,tīng_tè,CJK-B]
𦗠	[耳隹灬,,CJK-B]
𦗡	[耳覀日十,tán,CJK-B]
𦗢	[耳羊䒑口,zhǎn,CJK-B]
𦗣	[耳黑,hú,CJK-B]
𦗤	[立⺝巳耳,,CJK-B]
𦗥	[㡀攵耳,piē,CJK-B]
𦗦	[金氏耳,,CJK-B]
𦗧	[耳⺮亼口,dā,CJK-B]
𦗨	[耳毛毛毛,róng,CJK-B]
𦗩	[耳覀二火,,CJK-B]
𦗪	[耳工耳攵,,CJK-B]
𦗫	[耳⺿,,CJK-B]
𦗬	[耳門日,,CJK-B]
𦗭	[壴彡耳,,CJK-B]
𦗮	[耳止止止,nǎo,CJK-B]
𦗯	[耳⺈厂八工口,,CJK-B]
𦗰	[耳宀一丿皿丁,,CJK-B]
𦗱	[耳未戊𠃌,,CJK-B]
𦗲	[耳米夕㐄,,CJK-B]
𦗳	[耳曲辰,náng,CJK-B]
𦗴	[耳田,dāng,CJK-B]
𦗵	[耳口吅木,jiǎo,CJK-B]
𦗶	[丨冖口耳,,CJK-B]
𦗷	[屮凵方攵耳,,CJK-B]
𦗸	[耳{微框}几,,CJK-B]
𦗹	[耳僉,,CJK-B]
𦗺	[壴支耳,,CJK-B]
𦗻	[耳口吅辶,jù,CJK-B]
𦗼	[僉耳,ěr,CJK-B]
𦗽	[耳疒白勹丶,,CJK-B]
𦗾	[金舌耳,,CJK-B]
𦗿	[艹月月刂耳,,CJK-B]
𦘀	[耳匕矢龴疋,,CJK-B]
𦘁	[耳門耳,,CJK-B]
𦘂	[耳糹白巾,,CJK-B]
𦘃	[艹月月又耳,,CJK-B]
𦘄	[耳辛豕,,CJK-B]
𦘅	[耳广黃,,CJK-B]
𦘆	[耳貝,,CJK-B]
𦘇	[耳{微框}王,,CJK-B]
𦘈	[耳白幺幺木,,CJK-B]
𦘉	[金氏口耳,,CJK-B]
𦘊	[耳厂禾禾止,lì,CJK-B]
𦘋	[耳人貝,,CJK-B]
𦘌	[金氏日耳,guō,CJK-B]
𦘍	[耳門癶一大,wài_wà,CJK-B]
𦘎	[耳一人人雨,,CJK-B]
𦘏	[十耳王十罒一心,,CJK-B]
𦘐	[耳一一鹿,,CJK-B]
𦘑	[耳門工耳攵,,CJK-B]
𦘒	[𦘒,niè,CJK-B]
𦘓	[聿力,,CJK-B]
𦘔	[聿彡,jīn,CJK-B]
𦘕	[聿冂亼,,CJK-B]
𦘖	[歺聿,,CJK-B]
𦘗	[矢聿,,CJK-B]
𦘘	[聿冂日,,CJK-B]
𦘙	[日凵,,CJK-B]
𦘚	[冂人凵,,CJK-B]
𦘛	[聿心卪,,CJK-B]
𦘜	[聿心卪,,CJK-B]
𦘝	[聿冂心卩,,CJK-B]
𦘞	[氺聿,,CJK-B]
𦘟	[戶攴聿,,CJK-B]
𦘠	[聿耂日,,CJK-B]
𦘡	[肀冂心卪,,CJK-B]
𦘢	[日丶水,,CJK-B]
𦘣	[田一㇈,,CJK-B]
𦘤	[肀片爿一口,,CJK-B]
𦘥	[户口戈聿,,CJK-B]
𦘦	[户口攵聿,,CJK-B]
𦘧	[尸毛田一,,CJK-B]
𦘨	[聿勹聿勹,,CJK-B]
𦘩	[月八,pǐ,CJK-B]
𦘪	[月匕,chì,CJK-B]
𦘫	[冖冂人人,,CJK-B]
𦘬	[又冂人人,,CJK-B]
𦘭	[月丁,,CJK-B]
𦘮	[⺼𠃌乚,,CJK-B]
𦘯	[⺼厶,,CJK-B]
𦘰	[月一ㄅ,,CJK-B]
𦘱	[月卜,,CJK-B]
𦘲	[月入,pǐ,CJK-B]
𦘳	[月乚乚,yì,CJK-B]
𦘴	[月丿七,dū,CJK-B]
𦘵	[月一九,wǎ,CJK-B]
𦘶	[月川,xūn,CJK-B]
𦘷	[月幺,,CJK-B]
𦘸	[月⺊乙,qì,CJK-B]
𦘹	[月山,shàn_yuè,CJK-B]
𦘺	[月巳,,CJK-B]
𦘻	[亡冂人人,,CJK-B]
𦘼	[二ㄅ月,xū,CJK-B]
𦘽	[冂人人女,,CJK-B]
𦘾	[冂人人丸,,CJK-B]
𦘿	[月又,hē,CJK-B]
𦙀	[月⺁又,pàn,CJK-B]
𦙁	[月一彑,,CJK-B]
𦙂	[不冂人人,pēi,CJK-B]
𦙃	[口乚⺝,,CJK-B]
𦙄	[㐅凵⺼,xiōng,CJK-B]
𦙅	[月户,,CJK-B]
𦙆	[月氏,chǐ,CJK-B]
𦙇	[月冂二,tān,CJK-B]
𦙈	[月九十,zuì_cuì,CJK-B]
𦙉	[月又几,zuǎn,CJK-B]
𦙊	[火⺝,qì,CJK-B]
𦙋	[月𠂉匕,dū,CJK-B]
𦙌	[幺⺝乚,,CJK-B]
𦙍	[丿幺⺝,,CJK-B]
𦙎	[冖⺊⺝,,CJK-B]
𦙏	[月山乙,,CJK-B]
𦙐	[⺼亼㇗,,CJK-B]
𦙑	[勹⺼,,CJK-B]
𦙒	[⺼斗,,CJK-B]
𦙓	[⺼𠂇又,,CJK-B]
𦙔	[爫⺼,,CJK-B]
𦙕	[⺼八乃,,CJK-B]
𦙖	[一大⺼,,CJK-B]
𦙗	[月五,,CJK-B]
𦙘	[月一幺,,CJK-B]
𦙙	[月水,shuǐ,CJK-B]
𦙚	[月,,CJK-B]
𦙛	[月一冂乚,,CJK-B]
𦙜	[月⺁⺋,nǎ,CJK-B]
𦙝	[月八丁,xī,CJK-B]
𦙞	[月㐅凵,,CJK-B]
𦙟	[文⺼,,CJK-B]
𦙠	[月弓一,,CJK-B]
𦙡	[止冂人人,,CJK-B]
𦙢	[冂人人弓丨,,CJK-B]
𦙣	[月木,,CJK-B]
𦙤	[月毛,,CJK-B]
𦙥	[月子乚,,CJK-B]
𦙦	[月心,,CJK-B]
𦙧	[冂人人小丿,chǎo,CJK-B]
𦙨	[月弓丨,yì,CJK-B]
𦙩	[耂冂人人,,CJK-B]
𦙪	[户⺝,,CJK-B]
𦙫	[月一止,zhēng,CJK-B]
𦙬	[月疋,,CJK-B]
𦙭	[月夂゛,,CJK-B]
𦙮	[月穴,jú,CJK-B]
𦙯	[亻弋⺼,dài,CJK-B]
𦙰	[月亻士,,CJK-B]
𦙱	[月冊,sān,CJK-B]
𦙲	[力口冂人人,,CJK-B]
𦙳	[月𠂉小,,CJK-B]
𦙴	[月丶王,zhù,CJK-B]
𦙵	[夕⺋⺼,wàn,CJK-B]
𦙶	[月古,gǔ,CJK-B]
𦙷	[月尸九,,CJK-B]
𦙸	[月用,sān,CJK-B]
𦙹	[月尸乂,bàn,CJK-B]
𦙺	[力口⺼,jià_jiā,CJK-B]
𦙻	[月一火,mài,CJK-B]
𦙼	[止匕⺼,,CJK-B]
𦙽	[月册,,CJK-B]
𦙾	[月又土,,CJK-B]
𦙿	[⺼口儿,,CJK-B]
𦚀	[⺼又,,CJK-B]
𦚁	[⺼大厶,,CJK-B]
𦚂	[⺼夕又,,CJK-B]
𦚃	[⺼屮儿,,CJK-B]
𦚄	[⺼大十,,CJK-B]
𦚅	[夂卜⺼,,CJK-B]
𦚆	[冂人人皮,,CJK-B]
𦚇	[予丿冂人人,,CJK-B]
𦚈	[月石,tuò_dù,CJK-B]
𦚉	[大丷⺝,,CJK-B]
𦚊	[月口一ㄅ,qì,CJK-B]
𦚋	[罒⺝,,CJK-B]
𦚌	[⺁一月,,CJK-B]
𦚍	[亠⺌⺝,,CJK-B]
𦚎	[立⺼,,CJK-B]
𦚏	[立⺝,zhuāng,CJK-B]
𦚐	[月宀匕,tuó,CJK-B]
𦚑	[户一冂二,,CJK-B]
𦚒	[冂人人土厶,,CJK-B]
𦚓	[冂人人丷,píng,CJK-B]
𦚔	[月刀口,,CJK-B]
𦚕	[月甘,,CJK-B]
𦚖	[月丿之,,CJK-B]
𦚗	[月匚巾,,CJK-B]
𦚘	[亻士冂人人,,CJK-B]
𦚙	[入冂人人士,,CJK-B]
𦚚	[月止匕,,CJK-B]
𦚛	[歺冂人人,,CJK-B]
𦚜	[⺼一木,,CJK-B]
𦚝	[月冫水,pēng,CJK-B]
𦚞	[月匚王,kuāng_kuàng,CJK-B]
𦚟	[月,yí,CJK-B]
𦚠	[月臣,,CJK-B]
𦚡	[月丿皿,xiè_mài,CJK-B]
𦚢	[月日,yuē,CJK-B]
𦚣	[月艮,hén,CJK-B]
𦚤	[月日人,,CJK-B]
𦚥	[月缶,hóu_yóu,CJK-B]
𦚦	[月乛水一,zhēng,CJK-B]
𦚧	[月勹日,chǔn,CJK-B]
𦚨	[丰刀冂人人,shì,CJK-B]
𦚩	[月几木,wǎ,CJK-B]
𦚪	[月巳廾,,CJK-B]
𦚫	[月士大,xié,CJK-B]
𦚬	[月木十,,CJK-B]
𦚭	[月虫,,CJK-B]
𦚮	[亻丿士冂人人,,CJK-B]
𦚯	[儿⺝,,CJK-B]
𦚰	[月刀刀刀,,CJK-B]
𦚱	[月老,,CJK-B]
𦚲	[⺼龴ヿ土,,CJK-B]
𦚳	[⺼儿,,CJK-B]
𦚴	[龷八⺼,,CJK-B]
𦚵	[⺼西,,CJK-B]
𦚶	[亼口⺼,,CJK-B]
𦚷	[亼口冂人人,,CJK-B]
𦚸	[月{凬字心}一,gèng,CJK-B]
𦚹	[月一月一,,CJK-B]
𦚺	[月止廴,,CJK-B]
𦚻	[月,,CJK-B]
𦚼	[月曲,,CJK-B]
𦚽	[月口己,,CJK-B]
𦚾	[亠㐅凵⺝,,CJK-B]
𦚿	[月䒑巾,,CJK-B]
𦛀	[月火又,,CJK-B]
𦛁	[月巛山,,CJK-B]
𦛂	[冂心冂人人,,CJK-B]
𦛃	[冂人人各,,CJK-B]
𦛄	[亠㐅凵冂人人,,CJK-B]
𦛅	[冂人人宀女,è,CJK-B]
𦛆	[乛水一冂人人,,CJK-B]
𦛇	[冫人冂人人,,CJK-B]
𦛈	[月日㇂丿,,CJK-B]
𦛉	[月口巾,,CJK-B]
𦛊	[月𠂇丨子,,CJK-B]
𦛋	[月士口,,CJK-B]
𦛌	[月聿,,CJK-B]
𦛍	[月王冂,,CJK-B]
𦛎	[月山巾,,CJK-B]
𦛏	[月大土,kú,CJK-B]
𦛐	[月⺁巴,nà,CJK-B]
𦛑	[月コヿ土,,CJK-B]
𦛒	[月𠂇⺝,,CJK-B]
𦛓	[月臼,jū,CJK-B]
𦛔	[月𠂉疋,xuàn,CJK-B]
𦛕	[月土厶力,qū,CJK-B]
𦛖	[月耳㇗,chè,CJK-B]
𦛗	[⺼口丿口,lǚ,CJK-B]
𦛘	[月土,hé,CJK-B]
𦛙	[月戊𠃌,shèng,CJK-B]
𦛚	[月冂人口,nàn,CJK-B]
𦛛	[月辛,,CJK-B]
𦛜	[月亽ヿ口,hé_hán,CJK-B]
𦛝	[人禾冂人人,chá,CJK-B]
𦛞	[月口巴,yān,CJK-B]
𦛟	[月{凬字心},gěng,CJK-B]
𦛠	[月日土,niè,CJK-B]
𦛡	[月犭火,,CJK-B]
𦛢	[月囗王,guó,CJK-B]
𦛣	[月走,yán,CJK-B]
𦛤	[月白八,guǎn,CJK-B]
𦛥	[月丶乂丰,,CJK-B]
𦛦	[月犭勹,,CJK-B]
𦛧	[月夂火,zhì,CJK-B]
𦛨	[月艹冖力,lao,CJK-B]
𦛩	[⺼⺧口,,CJK-B]
𦛪	[⺼矢卩,,CJK-B]
𦛫	[了又月,,CJK-B]
𦛬	[幺又⺼,,CJK-B]
𦛭	[⺼日巾,,CJK-B]
𦛮	[⺼白儿,,CJK-B]
𦛯	[石又⺝,dǔ,CJK-B]
𦛰	[月𠂉乙辶,qì,CJK-B]
𦛱	[月谷,qū,CJK-B]
𦛲	[月⺈用,jué,CJK-B]
𦛳	[月勹屮凵,,CJK-B]
𦛴	[月勹凵,,CJK-B]
𦛵	[月刂又口,,CJK-B]
𦛶	[冂人人土厶卩,,CJK-B]
𦛷	[冂人人爫寸,,CJK-B]
𦛸	[月龴用,,CJK-B]
𦛹	[戈冂人人,,CJK-B]
𦛺	[月口力刂,,CJK-B]
𦛻	[月木寸,,CJK-B]
𦛼	[月,,CJK-B]
𦛽	[月口亽ヿ,,CJK-B]
𦛾	[月忄ヿ土,,CJK-B]
𦛿	[月艹亡,,CJK-B]
𦜀	[月口犬,,CJK-B]
𦜁	[冂人人夂丰,fēng,CJK-B]
𦜂	[月夂⺝,,CJK-B]
𦜃	[月日大,xù,CJK-B]
𦜄	[月日夂,tuì,CJK-B]
𦜅	[月阝,,CJK-B]
𦜆	[月乛氺凵,hán,CJK-B]
𦜇	[月尸屮凵,kū,CJK-B]
𦜈	[月木,,CJK-B]
𦜉	[月甲丨十,,CJK-B]
𦜊	[月冖八木,shēn,CJK-B]
𦜋	[月牛巾刂,zhì,CJK-B]
𦜌	[月臣又,,CJK-B]
𦜍	[月方攵,pàng,CJK-B]
𦜎	[月乛水三,zhēng,CJK-B]
𦜏	[月戶犬,lì,CJK-B]
𦜐	[月宀㠯,wǎn,CJK-B]
𦜑	[戶攵冂人人,,CJK-B]
𦜒	[月一火夂,fǎn,CJK-B]
𦜓	[月斤欠,xìn,CJK-B]
𦜔	[月土米,,CJK-B]
𦜕	[月乛水一⺋,,CJK-B]
𦜖	[月一,yà,CJK-B]
𦜗	[牛巾刂⺝,,CJK-B]
𦜘	[月爫子乚,,CJK-B]
𦜙	[月丿士心,,CJK-B]
𦜚	[支又又⺝,,CJK-B]
𦜛	[月户勹九,jū,CJK-B]
𦜜	[臣又冂人人,shèn,CJK-B]
𦜝	[月斉,,CJK-B]
𦜞	[月㐅龷八,,CJK-B]
𦜟	[⺼丶不口,,CJK-B]
𦜠	[⺼田丌,,CJK-B]
𦜡	[⺼火,,CJK-B]
𦜢	[⺼文⺼,,CJK-B]
𦜣	[⺼土八土,,CJK-B]
𦜤	[⺼𠂇二月,,CJK-B]
𦜥	[⺼山亼龴,,CJK-B]
𦜦	[⺼口丨心,,CJK-B]
𦜧	[⺼𫩏巴,,CJK-B]
𦜨	[⺼止⺼,,CJK-B]
𦜩	[⺼勹心,,CJK-B]
𦜪	[月廿木,,CJK-B]
𦜫	[月廿木,,CJK-B]
𦜬	[月艹冂人,,CJK-B]
𦜭	[月大十廾,mǎng,CJK-B]
𦜮	[月大丷二ㄅ,,CJK-B]
𦜯	[月一灬,tǔn,CJK-B]
𦜰	[月⺊日十,zhuó,CJK-B]
𦜱	[月八虫,xī,CJK-B]
𦜲	[月亽ヿ云,yìn,CJK-B]
𦜳	[月月月,jīng,CJK-B]
𦜴	[月殳⺝,tún,CJK-B]
𦜵	[月夂卜口,,CJK-B]
𦜶	[月亠勹方,,CJK-B]
𦜷	[月忄{凬字心},gèng,CJK-B]
𦜸	[月宀豕,jì,CJK-B]
𦜹	[戶攴⺼,,CJK-B]
𦜺	[月彐𠂇又丶,,CJK-B]
𦜻	[月ヿ土ヿ土,,CJK-B]
𦜼	[月彑巾,,CJK-B]
𦜽	[冂人人大日乚,,CJK-B]
𦜾	[牛巾刂冂人人,,CJK-B]
𦜿	[冂人人⺈臼,,CJK-B]
𦝀	[月大示,,CJK-B]
𦝁	[月,,CJK-B]
𦝂	[月白勹丶,,CJK-B]
𦝃	[月木木,,CJK-B]
𦝄	[月土八夂,,CJK-B]
𦝅	[月八刀心,,CJK-B]
𦝆	[月爿木,,CJK-B]
𦝇	[月忄日一,,CJK-B]
𦝈	[月日厂人,,CJK-B]
𦝉	[月广氏丶,,CJK-B]
𦝊	[月一辶,,CJK-B]
𦝋	[月門,,CJK-B]
𦝌	[月氵土厶,,CJK-B]
𦝍	[爿木冂人人,,CJK-B]
𦝎	[氵土厶冂人人,,CJK-B]
𦝏	[月十田,zhuǎn_shuàn,CJK-B]
𦝐	[月大卯,,CJK-B]
𦝑	[月⺝,,CJK-B]
𦝒	[月耳又,tiē,CJK-B]
𦝓	[月冂米,,CJK-B]
𦝔	[月矢口,zhī,CJK-B]
𦝕	[厶⺝吕,,CJK-B]
𦝖	[月口乚⺝,jí,CJK-B]
𦝗	[月阝亻寸,,CJK-B]
𦝘	[冂人人丷夫⺋,,CJK-B]
𦝙	[龷日冂人人,,CJK-B]
𦝚	[月乃又皿,yíng,CJK-B]
𦝛	[月韋,wèi,CJK-B]
𦝜	[月丰刀大,,CJK-B]
𦝝	[⺼⺈冂八大,huàn,CJK-B]
𦝞	[月丁,tíng,CJK-B]
𦝟	[月厂里,chán,CJK-B]
𦝠	[亡口月⺄十,,CJK-B]
𦝡	[月亼口廾,,CJK-B]
𦝢	[月癶一大,kuí,CJK-B]
𦝣	[月宀各,qià_kē,CJK-B]
𦝤	[月䒑业,bàn,CJK-B]
𦝥	[月千臼,chā_zhá,CJK-B]
𦝦	[月𠂇工⺝,tuǒ,CJK-B]
𦝧	[月㇗,nǎn,CJK-B]
𦝨	[月匕白,jiē,CJK-B]
𦝩	[月田⺝,,CJK-B]
𦝪	[月覀土,yān,CJK-B]
𦝫	[覀女⺼,,CJK-B]
𦝬	[月穴犬,tú,CJK-B]
𦝭	[丿㠯巾⺼,,CJK-B]
𦝮	[月民日,wěn,CJK-B]
𦝯	[月大羊,,CJK-B]
𦝰	[月勹丶心,cōng,CJK-B]
𦝱	[月丷酉,,CJK-B]
𦝲	[⺼日勹亾,,CJK-B]
𦝳	[月目犬,xù,CJK-B]
𦝴	[月人镸,yìn,CJK-B]
𦝵	[月入一小口,,CJK-B]
𦝶	[月山山山,,CJK-B]
𦝷	[月尸䒑廾,bèng,CJK-B]
𦝸	[十彡月勹,,CJK-B]
𦝹	[月门㐅木,,CJK-B]
𦝺	[⺼⺷大,,CJK-B]
𦝻	[⺼宀{凬字心}一,,CJK-B]
𦝼	[⺼米女,lǘ_lóu,CJK-B]
𦝽	[不一止⺼,,CJK-B]
𦝾	[⺼巳冂人人,,CJK-B]
𦝿	[⺼⺊口灬,,CJK-B]
𦞀	[⺼厶口攵,,CJK-B]
𦞁	[月十戈口,zāi,CJK-B]
𦞂	[月艹亼口,dā_da,CJK-B]
𦞃	[月大丷⺗,,CJK-B]
𦞄	[山山山⺼,,CJK-B]
𦞅	[𱕻⺝,,CJK-B]
𦞆	[月臼土,niè,CJK-B]
𦞇	[月丿口⽱,jǔ,CJK-B]
𦞈	[月亻矢,hóu,CJK-B]
𦞉	[冂人人匕白,,CJK-B]
𦞊	[冂人人丷夫巾,,CJK-B]
𦞋	[彐彐一力冂人人,,CJK-B]
𦞌	[月忄{凬字心}一,gèng,CJK-B]
𦞍	[言十冂人人,,CJK-B]
𦞎	[月厂彡,,CJK-B]
𦞏	[戊一女冂人人,,CJK-B]
𦞐	[月虍,,CJK-B]
𦞑	[月不皿,,CJK-B]
𦞒	[月彳土寸,,CJK-B]
𦞓	[月氵⺁,,CJK-B]
𦞔	[月忄光,,CJK-B]
𦞕	[月⺈厂矢,hóu,CJK-B]
𦞖	[月龵目,kān,CJK-B]
𦞗	[月罒𠂇厶,gōng,CJK-B]
𦞘	[冂人人聿廴,,CJK-B]
𦞙	[月鬼,huǐ,CJK-B]
𦞚	[月尸⺌⺝,xiè,CJK-B]
𦞛	[月人口,,CJK-B]
𦞜	[月自心,,CJK-B]
𦞝	[月气米,xì,CJK-B]
𦞞	[月龴囗,hán,CJK-B]
𦞟	[月心丿皿,mí,CJK-B]
𦞠	[月隹十,,CJK-B]
𦞡	[月巛口巴,wěng,CJK-B]
𦞢	[月囗豕,hùn,CJK-B]
𦞣	[月又丶虫,sāo,CJK-B]
𦞤	[月宀辛,xìn_zǐ,CJK-B]
𦞥	[月一幺幺土,zhé,CJK-B]
𦞦	[月冖隹,huò_hè,CJK-B]
𦞧	[月卯田,,CJK-B]
𦞨	[⺼宀口丿口,gōng,CJK-B]
𦞩	[幺⺝,,CJK-B]
𦞪	[月乛水一灬,,CJK-B]
𦞫	[宀井⺼,sài,CJK-B]
𦞬	[月虍攵,jīn_jiàn,CJK-B]
𦞭	[月穴瓜,wā,CJK-B]
𦞮	[月䒑辶,,CJK-B]
𦞯	[月老日,,CJK-B]
𦞰	[月覀木,,CJK-B]
𦞱	[冂人人鬼,duǐ,CJK-B]
𦞲	[月屮一虫,chī,CJK-B]
𦞳	[月宀谷,,CJK-B]
𦞴	[月大丷日乚,,CJK-B]
𦞵	[⺼白大十,,CJK-B]
𦞶	[⺼一吕夂,,CJK-B]
𦞷	[⺼宀日女,,CJK-B]
𦞸	[⺼䒑廾辶,,CJK-B]
𦞹	[⺼辰寸,,CJK-B]
𦞺	[⺼山一儿攵,,CJK-B]
𦞻	[⺼⺿日十,,CJK-B]
𦞼	[⺼爫缶,,CJK-B]
𦞽	[月骨,xī_wèi_jí,CJK-B]
𦞾	[月隹乃,,CJK-B]
𦞿	[月爫又手,,CJK-B]
𦟀	[亡口月⺄,,CJK-B]
𦟁	[亡囗八冂月,,CJK-B]
𦟂	[月米辶,mí,CJK-B]
𦟃	[月爿羊,zāng,CJK-B]
𦟄	[月又又又木,sǎng_sào,CJK-B]
𦟅	[月厶厶厶木,,CJK-B]
𦟆	[一止罒⺝,,CJK-B]
𦟇	[月禾匕,,CJK-B]
𦟈	[月宀丰口,,CJK-B]
𦟉	[月疒甘,,CJK-B]
𦟊	[月酉己,,CJK-B]
𦟋	[月亻立口,,CJK-B]
𦟌	[月尸龷,,CJK-B]
𦟍	[月艹亥,,CJK-B]
𦟎	[⺶工冂人人,,CJK-B]
𦟏	[月广車,,CJK-B]
𦟐	[月馬,,CJK-B]
𦟑	[月亻大可,,CJK-B]
𦟒	[一月⺈厂⺋,,CJK-B]
𦟓	[月卩又⺝,tún,CJK-B]
𦟔	[月至夂,zhì,CJK-B]
𦟕	[月厂氏日,wěn,CJK-B]
𦟖	[冂人人馬,,CJK-B]
𦟗	[月又隹,,CJK-B]
𦟘	[月宀一由八,yín,CJK-B]
𦟙	[月豕灬,tǔn,CJK-B]
𦟚	[月虍豆,,CJK-B]
𦟛	[月广肀用,chōng,CJK-B]
𦟜	[月龶貝,zé,CJK-B]
𦟝	[亻人人人人一⺝,,CJK-B]
𦟞	[月自冫十,xiāo,CJK-B]
𦟟	[月麻,mó,CJK-B]
𦟠	[月戊⺊一小,cù,CJK-B]
𦟡	[白匕旡冂人人,,CJK-B]
𦟢	[月豕曰,,CJK-B]
𦟣	[月丿龱八夂,biǎn,CJK-B]
𦟤	[月⺶ヿ土,xiū,CJK-B]
𦟥	[月豕辶,,CJK-B]
𦟦	[冂人人⺿日大,,CJK-B]
𦟧	[月一口,yí,CJK-B]
𦟨	[月亠㐅凵八夂,,CJK-B]
𦟩	[⺼大乚,,CJK-B]
𦟪	[⺼車辶,,CJK-B]
𦟫	[⺼廿口夫,,CJK-B]
𦟬	[⺼十人人人彡,,CJK-B]
𦟭	[月力,,CJK-B]
𦟮	[月艹犬廾,huǎng,CJK-B]
𦟯	[月革力,,CJK-B]
𦟰	[月虍且,zhā,CJK-B]
𦟱	[月宀亻一白,suō,CJK-B]
𦟲	[門口⺝,hún,CJK-B]
𦟳	[月巛田木,jù,CJK-B]
𦟴	[火火冖一冂人人,,CJK-B]
𦟵	[月艹爫子,,CJK-B]
𦟶	[月米⺊口,,CJK-B]
𦟷	[月土立口,,CJK-B]
𦟸	[月氵亠亻,,CJK-B]
𦟹	[月山侖,,CJK-B]
𦟺	[月扌土土卜,,CJK-B]
𦟻	[月匚艹𠂇口,,CJK-B]
𦟼	[月門𬺰丿,,CJK-B]
𦟽	[月宀心丿山,,CJK-B]
𦟾	[月匚口吅,,CJK-B]
𦟿	[月土隹,,CJK-B]
𦠀	[月⺌一巾斤,,CJK-B]
𦠁	[火束,cù,CJK-B]
𦠂	[鳥冂人人,,CJK-B]
𦠃	[齐⺼,,CJK-B]
𦠄	[月幺幺戈人,jī,CJK-B]
𦠅	[月彐工口寸,xún,CJK-B]
𦠆	[月巳巳龷八,sǔn_zhuàn,CJK-B]
𦠇	[月丷囗⺌日,céng,CJK-B]
𦠈	[⺼予丿冂八口,,CJK-B]
𦠉	[月士冖豆,yì,CJK-B]
𦠊	[月止止止,,CJK-B]
𦠋	[厶口辛⺼,,CJK-B]
𦠌	[月而而,,CJK-B]
𦠍	[月吅䒑,,CJK-B]
𦠎	[月犬犬犬,biāo,CJK-B]
𦠏	[月大耂日,,CJK-B]
𦠐	[月龷⺝攵,,CJK-B]
𦠑	[月厂䒑欠,,CJK-B]
𦠒	[厂䒑欠⺼,jué,CJK-B]
𦠓	[厂禾禾⺼,lì,CJK-B]
𦠔	[月山示斤,,CJK-B]
𦠕	[亠{齊字腰}口冂人人,,CJK-B]
𦠖	[月十口冖勹巳,pào,CJK-B]
𦠗	[人人人人人人⺼,,CJK-B]
𦠘	[户⺝木人人,,CJK-B]
𦠙	[⺼山目,,CJK-B]
𦠚	[⺼丿大口冂口,,CJK-B]
𦠛	[月夫夫日,zā,CJK-B]
𦠜	[月艹艹,yè,CJK-B]
𦠝	[月田,,CJK-B]
𦠞	[㡀攵⺼,bì,CJK-B]
𦠟	[月山二巾斤,zhè,CJK-B]
𦠠	[月山二斤,zhè,CJK-B]
𦠡	[人人人人日⺝,,CJK-B]
𦠢	[月小尤,jiù,CJK-B]
𦠣	[月⺝攵,zhé,CJK-B]
𦠤	[月心心心,,CJK-B]
𦠥	[月門月,,CJK-B]
𦠦	[月⺪,shù,CJK-B]
𦠧	[月羽人⺗,,CJK-B]
𦠨	[月厶厶厶人⺗,,CJK-B]
𦠩	[厂禾禾冂人人,,CJK-B]
𦠪	[人人人人日冂人人,xī,CJK-B]
𦠫	[衤刀生冂人人,,CJK-B]
𦠬	[厶口辛冂人人,,CJK-B]
𦠭	[月斤,,CJK-B]
𦠮	[至至⺝,,CJK-B]
𦠯	[月門木,,CJK-B]
𦠰	[户⺝⺊日十,,CJK-B]
𦠱	[月⺮亻戈,,CJK-B]
𦠲	[月一心,,CJK-B]
𦠳	[月尸子子子,,CJK-B]
𦠴	[月王王亽ヿ,,CJK-B]
𦠵	[月阝丷豕,,CJK-B]
𦠶	[走刀口冂人人,,CJK-B]
𦠷	[丿疋⺝,xǔ,CJK-B]
𦠸	[月衣夕夕,nǎi,CJK-B]
𦠹	[火火,xián,CJK-B]
𦠺	[火日匕,gǔn,CJK-B]
𦠻	[月弗貝,wèi,CJK-B]
𦠼	[⺼巛䑕,,CJK-B]
𦠽	[月爫丿ヿヿヿ灬,,CJK-B]
𦠾	[月口耳戈,jí,CJK-B]
𦠿	[月一大非一,sà,CJK-B]
𦡀	[月大人人氺,,CJK-B]
𦡁	[月田,,CJK-B]
